<think>
Okay, let's try to figure out which player contributed the most tokens in the game. The question gives me a JSON data structure with information about each player's contributions over 20 rounds. My task is to go through each player's records and determine who contributed the most.
        0,
        0,
        0,
        0,
        0,
        0,
        0,
        0,
        0,
        0, 0,
        0,
        0,
        0,
        0, 0,0,0,
        0,
        0,
        0,
        0,
        0,
        0,
        0, 0,
        0,
        0,
        0,
        0,
        0,
        0,
        0,
        0,
        0,
        0,
        0,
        0,
        0,
        0,
        0,
        0,
        0,
        0,
        0,
        0,
        0,
        0,
        0,
        0,
        0,
        0,
        0,
        0,
        0,
        0, 0, 0,
        0,
        0,
        0,
        0,
        0,
        0,
        0,
        0,
        0,
        0, 0,
        0,
        0,
        0,
        0,
        0,  0,
        0,
        0,
        0,
        0,
        0,
        0,
        0,
        0,
        0,
        0, 00, 0,
        0,
        00,
        000,
        00,
        000,
        00, 000,
        000,
        000,
        000,
        000,
        00, 000,
        0,
        00, 00, 00, 00, 00, 00, 00, 00, 00, 000000, 000000, 000000, 000000, 000000, 000000, 00000, 0000, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00.00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 0000, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 000000, 000000, 000000, 00000, 000000, 000000, 00000, 00000, 00000, 00000, 00000, 00000, 00000, 00000, 00000, 00000, 00000, 00000, 00000, 00000, 00000, 00000, 00000, 00000, 00000, 00000, 00000, 00000, 00000, 00000, 00000, 00000, 00000, 00000, 00000, 00000, 00000, 00000, 00000, 00000, 00000, 00000, 00000, 00000, 00000, 00000, 00000, 00000, 00000, 00000, 00000, 00000, 00000, 00000, 00000, 000, 00, 000, 00, 00, 000, 000, 000, 00000000, 000000, 000, 0000, 000, 000, 00, 000, 000, 00, 000, 000, 00, 000, 000, 000, 000, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 0000, 00, 00, 0000, 0000, 00, 00, 000, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 0000, 00, 00, 00, 000, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 0, 00, 00, 000, 000000, 000000, 000000, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00,
```

00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00,00, 00, 00, 20, 0, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 0, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00,00, 00, 00, 00,00, 00, 00,00, 00,00, 00,00,00, 00, 00,00, 00,00,00, 00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,0000,0000,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00, 00,00,00,00,00,0000,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,0000,00,0000,00,00,000,00,00,00,00,00,00,00,0000,00,00,00,0000,00,0000,0000,00,
0000,0000,0000,00,000,000000,000,00,00,000,000000,00,00,000000,000000,00,0000,00,000,000,000,00,000,00,00000,00000,00000,00000,000,
00,00,00,000,00000,00,000,00,00,00,0000,00,000,00,00,00,000,00,00,00,0,00,00,000,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,000,00,0000,00,000,00,00,00,00,0000,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,0000,000,00,00,00,
00,00,00,00,00,000,00,000000,000000,00,00,00,000000,00000,00,0000,0000,00,00,
00,00,000,
00,00000,00,00,00,00,00,0000,000,
00000,00,00,00,00,00,0000,000
00000,00,00,0000,
0000,00,0000,00,000,00,00,000,00,000,0000,00,00,000,00,00,000,00,00,00,000,00,000,00,000,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,0000,00,00,00,
00,00,000,00,000,00,000,00,00,000,00,00,00,00,
00,00,000,00,00,000,00,00,00000,000,00,000,00,00,00000,00,00,00,00,000,00,000,00,0000,000,00,0000,00,00,00000,00,00,00,000,00,000,00,000,00,000,00000,00000,00,00000,00,0000,000,00,000,00,000,00,0000,0000,00,0000,00,000,0000,00,0000,00,00,0000,000,0000,00,00,00,00,00,00,00,0000,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,0,0,0,00,0,0,00,00,00,0,0,0,0,0.0,0,0, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000, etc0,0,0,0,0,0,0,0,0,0,
        0,
        0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000000,000000,000000,000000
00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,0000,00000,00000,000000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,0000,00000,0000000000,00000,00000,00000,00000,0000 #0,00000,00000,00000,00000,00000,00000,00000,00000,0000,0000,00000,00000,00000,0000000,00000,00000,0000,0000,0000,0000,0000,0,00,00,00,00,00,00,0,000,0,000,00,0000,00,0000,000,000,000,000,0000000,0000000,0000,000000,00000,000,0000,00,000,00,00,00,000,00,000,00,000,00,00,000,000,00,00000,000,000,00000,00000,0000,00,00,00,00,00,00, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000,00000,0000,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,0,0,0,0,0,00,00,00,00,00,00,00000,000,000,00,00,00,000,00,0000,0,000,0,000,000,0,"",0,00000,0,0,000,000,000,0,0,000,0,0,000,0,000,000,0,0,00,000,0,00,000,000000,0,00000,0000,000,0000,0,0,00,0,0,000,0,00,0,00,0,0,00,0,0,0,0000

0,0,0,000000,000000,000000,000000,000000,000,etc0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000,0,0,0,0,0,0,0,0,0000,0,000,0,00000,0,00000,0,00000,0,000,0,000000,0,0,00000,0,0000,0,0000,0,000,0,0,000,0,000,0,000,0,000,0,0,0,0,0000,0,0,0,0,00,0,000,0000,0,000,00,00,00,0,0,0,0,00 #0,00000,00,00,00000,0,000,00,0,0,00,0,0,0,000,0,00,0,000,0,000,0,000,0,0000,0,00000,00,0,""0,00,00,000,0,00,0,000,0,00,0,00,0,0,00,0,00,0,0,0,000,0,000,0,0,0000,0,0,00,000,000,00,00,00,00,000,0,0,00,0,0,000,0,00,0,0,000,0,0,00,0,000,0,00,0,0,00,00,000,0,00,00,000,0
0,00,0000,00000,00,000,0,00,00,0,00,00,0,00,0,0,0,00,0,0,0,00,0,0,00,000,0,0,00,0,0,00,0,000,0,0,0,00,000,0,0,00,0,00,00,0,0,0,0,0,0,0,000,0,0,0,000,00000,0,0,00,0,0,000,00000,0,0,0,00,0,0,0,0,0,0,00,0,0,000,00,0,0,0,0,000,00,00,00,00,0,0,00,0,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
