case,pos,marker,draft_text,emitted_text,emitted_is_marker,p,q,target_rank,target_top1_prob
case_014,3330,lets, Let's, But,True,0.18914169,0.63693303,1,0.453727
case_014,3635,but, But, So,False,0.05472048,0.09630496,4,0.519174
case_014,4752,but, But, Wait,True,0.24767104,0.18782538,1,0.360359
case_014,7153,actually, Actually, Let's,True,0.02752746,0.05376699,5,0.487936
case_014,7812,wait, Wait, Not,False,0.0056178,0.01192486,17,0.419238
case_014,8060,but, but,".

",False,0.02383227,0.02187197,3,0.478684
case_014,8430,actually, Actually, The,False,0.00690488,0.01983156,16,0.42719
case_014,8672,but,But,Thus,False,0.17373483,0.35356382,1,0.47226
case_015,1176,lets, let's, we,False,0.00020374,0.00078043,49,0.368368
case_015,2656,lets,Let's,We,False,0.02954808,0.05678483,9,0.150058
case_015,3167,wait, Wait, But,True,0.22494955,0.29075611,1,0.476218
case_015,3310,wait, Wait, Actually,True,0.02720897,0.02417848,3,0.375608
case_015,3591,but, But, So,False,0.03780287,0.21619067,2,0.759291
case_017,1340,but,But,We,False,0.17299566,0.16612573,1,0.603814
case_017,1531,lets, Let's, Wait,True,0.11808548,0.17871819,2,0.363729
case_017,3178,lets, Let's, Not,False,0.01647553,0.02211588,10,0.292036
case_017,3228,but, But, We,False,0.20603392,0.13781987,1,0.634629
case_017,4415,actually, Actually, Wait,True,0.25702718,0.30143571,1,0.544127
case_018,4141,but, But, So,False,0.11748416,0.07779672,2,0.361877
case_018,4155,but,But,Thus,False,0.15304706,0.2772218,1,0.534187
case_019,688,actually, Actually, So,False,0.13896535,0.15859799,1,0.428043
case_019,3233,but, but, maybe,False,0.22541368,0.06371871,1,0.612738
case_019,3273,but, But, So,False,0.12199301,0.1312774,1,0.546735
case_019,3278,but,But,Let's,True,0.29649884,0.43138078,1,0.431403
case_019,3453,but, But, Some,False,0.10979048,0.0859896,2,0.232426
case_019,3554,actually, actually, if,False,6.13e-06,1.856e-05,223,0.471509
case_019,4087,lets, Let's, Then,False,0.01608338,0.03071354,11,0.195936
case_019,5156,wait, Wait, But,True,0.06400906,0.16219312,2,0.535941
case_019,5571,wait, Wait, So,False,0.00171785,0.00175674,9,0.889866
case_019,6717,but, But, Wait,True,0.24205616,0.28097585,1,0.657977
case_019,7640,but,But,Thus,False,0.14405784,0.24640195,1,0.39159
case_019,7710,actually, Actually, Wait,True,0.00189076,0.02751134,7,0.673159
case_019,8428,but, But, So,False,0.03086762,0.15370058,1,0.902084
case_019,8684,but, But, So,False,0.12599106,0.23601793,1,0.725029
case_019,9319,lets, Let's, Wait,True,0.24920774,0.2251049,1,0.597818
case_019,10132,actually, Actually, But,True,0.07595159,0.22444561,2,0.385714
case_019,10411,lets, Let's, Wait,True,0.30096087,0.45615453,1,0.496201
case_019,12026,lets, Let's, Good,False,0.14690085,0.2023403,2,0.399318
case_019,13831,but, but,.,False,0.03476678,0.05600613,3,0.69831
case_020,2474,but, But, Let's,True,0.11873352,0.30202734,1,0.532127
case_021,1483,but, but, But,True,0.17931139,0.16831566,1,0.430146
case_021,2079,but, But, Not,False,0.0790332,0.22226301,2,0.583981
case_022,449,but, But, So,False,0.18065807,0.178803,1,0.433376
case_022,1751,wait, Wait, Vertex,False,0.11141317,0.28907153,1,0.499319
case_022,1959,but, but, ,False,0.18676399,0.31010664,1,0.65187
case_022,2668,but, But, Suppose,False,0.03209984,0.02618579,3,0.443125
case_023,183,lets, Let's, Actually,True,0.07884503,0.41726643,2,0.400408
case_023,474,lets,Let's,Let,False,0.24083827,0.28976697,2,0.397075
case_023,1226,but,But,We,False,0.00755807,0.0278146,9,0.600412
case_023,1690,wait, Wait, Let's,True,0.07131927,0.06078973,3,0.597149
case_023,2093,but, but, each,False,0.04899297,0.05488077,4,0.319474
case_023,2945,but,But,Double,False,0.18257371,0.15704991,2,0.301013
case_024,1096,actually, Actually, Wait,True,0.1934476,0.17514485,2,0.409529
case_024,1494,but, But, Because,False,0.05918592,0.06432918,1,0.721032
case_026,694,but, but, or,False,0.01477931,0.04307031,3,0.712107
case_026,2951,wait, Wait, Let's,True,0.14800297,0.36636978,1,0.455881
case_026,3431,but, but, not,False,0.06370191,0.02506959,2,0.68486
case_026,5245,wait, Wait, Determ,False,0.16604695,0.47388062,2,0.351521
case_026,6727,actually, Actually, Wait,True,0.14566287,0.26190698,1,0.838232
case_026,6846,lets,Let's,But,True,0.07813591,0.10434493,3,0.309033
case_026,12293,wait, Wait, So,False,0.01700948,0.01592658,5,0.723262
case_026,14816,actually, Actually, Which,False,0.08409855,0.37022772,2,0.228604
case_026,14922,but, But, Let's,True,0.27397254,0.30941454,1,0.451704
case_026,17201,lets, Let's, Because,False,0.06618518,0.29000601,4,0.203865
case_026,17539,actually, Actually, But,True,0.00305338,0.0466143,12,0.795323
case_027,1098,but, But, So,False,0.02304839,0.05527027,3,0.408542
case_028,2157,wait, Wait, Check,False,0.02391549,0.02546895,3,0.423912
case_028,2348,wait, Wait, obviously,False,0.08191375,0.04568866,2,0.534145
case_028,2934,lets,Let's,Now,False,0.05050173,0.03780141,3,0.422846
case_028,6201,but, But, Let's,True,0.00986613,0.01452227,5,0.783764
case_028,9813,wait, Wait, Let's,True,0.07772334,0.15807512,2,0.737419
case_028,10502,lets,Let's,So,False,0.07623167,0.10710184,3,0.301502
case_028,12463,wait, Wait, ,False,0.00121491,0.00138222,4,0.915681
case_028,12473,actually, Actually, Good,False,0.00467982,0.01234924,4,0.891817
case_029,83,actually, Actually, There,False,0.01413005,0.01858208,9,0.235286
case_029,2608,but, But, So,False,0.0055459,0.01042993,3,0.932677
case_029,2708,actually, Actually, The,False,0.19946845,0.27378929,2,0.328868
case_029,3191,but, but, sphere,False,0.10640184,0.15805659,2,0.327741
case_029,3723,lets, Let's, Actually,True,0.03619092,0.09344075,2,0.823702
case_029,5441,but, But, So,False,0.27910578,0.3632848,1,0.590867
case_029,5462,actually, Actually, Sphere,False,0.1293804,0.08932016,2,0.273898
case_029,5695,but, but, sphere,False,0.00367237,0.00304848,7,0.8986
case_029,6729,wait, Wait, Let's,True,0.235056,0.22127691,1,0.387542
case_029,8353,wait, Wait, Actually,True,0.1009478,0.11699027,3,0.274405
case_029,10903,lets, Let's, But,True,0.06836511,0.12916484,1,0.832858
case_029,12400,lets, Let's, But,True,0.1083025,0.05713392,3,0.229276
case_029,13301,wait, Wait, But,True,0.05262656,0.06606934,5,0.302845
case_029,13889,actually, Actually, Wait,True,0.14323141,0.21372665,2,0.303221
case_029,14134,wait, Wait, sphere,False,0.02961425,0.01362438,6,0.463245
case_029,14300,but, But, Actually,True,0.08542291,0.19360003,2,0.557027
case_029,14397,but,But,Thus,False,0.03535207,0.06290551,3,0.710065
case_029,16046,lets, Let's, Wait,True,0.06560814,0.32696557,2,0.333186
case_029,16047,but, but, we,False,0.07501219,0.12532605,1,0.806457
case_029,17714,but, But, add,False,0.01794911,0.02222468,5,0.763216
case_029,18135,but, But, r,False,0.10629264,0.09164413,2,0.370998
case_029,18528,but,But,Let's,True,0.18750578,0.21742678,1,0.577558
case_030,2025,but, But, Wait,True,0.00662419,0.0537192,7,0.675686
case_030,2423,but, But, Similarly,False,0.07422516,0.10483868,3,0.427136
case_030,3023,actually, Actually, But,True,0.16610587,0.11609881,1,0.511642
case_030,3483,wait, Wait, So,False,0.07015922,0.17355803,1,0.665652
case_030,4572,but, But, So,False,0.10760389,0.08063015,1,0.546458
case_030,4952,but, But, That's,False,0.10916395,0.24385417,2,0.336249
case_030,5048,but,But,Now,False,0.24972755,0.21978913,1,0.528673
case_030,7029,actually, Actually, Wait,True,0.05775101,0.16195993,1,0.903378
case_030,7146,but, but, has,False,0.01674607,0.03176307,5,0.712061
case_030,7936,but,But,Conclusion,False,0.19207758,0.11727542,1,0.279471
