case,tag,arm,total_tokens,relaxed_only_tokens,hesitation_total,hesitation_relaxed_only,wait_total,hmm_total,lets_total,actually_total,but_total,wait_relaxed_only,hmm_relaxed_only,lets_relaxed_only,actually_relaxed_only,but_relaxed_only
case_004,rFuzzy0p3,r_fuzzy (α=0.3),16809,3104,413,114,96,2,104,73,138,14,1,34,23,42
case_004,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),19712,3510,401,0,119,0,87,84,111,0,0,0,0,0
case_004,specCascOpt0p05,spec_casc_opt (α=0.05),32720,3821,704,78,217,3,140,119,225,5,1,17,18,37
case_004,specCascTok0p3,spec_casc_tok (α=0.3),32728,612,383,21,64,2,188,44,85,5,0,11,4,1
case_004,specCascTokSemanticGuard0p3,spec_casc_tok_semantic_guard (α=0.3),32764,535,405,0,59,3,172,65,106,0,0,0,0,0
case_004,strict,strict,10356,0,125,0,23,1,41,14,46,0,0,0,0,0
case_005,cactus0p25,cactus (α=0.25),32484,5831,1044,272,281,5,282,263,213,42,1,97,72,60
case_005,mentoredDec0p37,mentored_dec (α=0.37),4968,245,51,9,11,0,13,7,20,2,0,2,1,4
case_005,rFuzzy0p3,r_fuzzy (α=0.3),32409,6254,1185,325,281,6,291,284,323,51,3,117,78,76
case_005,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),22966,4034,626,0,265,4,103,121,133,0,0,0,0,0
case_005,specCascOpt0p05,spec_casc_opt (α=0.05),32591,4441,1096,132,420,5,189,275,207,18,1,32,44,37
case_005,specCascTok0p3,spec_casc_tok (α=0.3),6888,194,77,2,11,1,28,11,26,0,0,1,0,1
case_005,specCascTokSemanticGuard0p3,spec_casc_tok_semantic_guard (α=0.3),5502,140,53,0,10,0,19,5,19,0,0,0,0,0
case_005,strict,strict,5291,0,55,0,16,0,15,4,20,0,0,0,0,0
case_006,cactus0p25,cactus (α=0.25),32733,5781,1041,282,293,7,261,201,279,25,3,109,57,88
case_006,mentoredDec0p37,mentored_dec (α=0.37),14637,609,178,24,48,1,81,15,33,5,0,15,1,3
case_006,rFuzzy0p3,r_fuzzy (α=0.3),32735,5425,955,228,315,2,220,216,202,24,1,78,73,52
case_006,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),32713,5161,803,0,285,2,127,206,183,0,0,0,0,0
case_006,specCascOpt0p05,spec_casc_opt (α=0.05),32727,3563,768,83,334,2,163,130,139,4,0,25,33,21
case_006,specCascTok0p3,spec_casc_tok (α=0.3),11954,273,144,6,25,1,63,12,43,1,0,2,1,2
case_006,specCascTokSemanticGuard0p3,spec_casc_tok_semantic_guard (α=0.3),11035,222,117,0,29,0,48,16,24,0,0,0,0,0
case_006,strict,strict,10563,0,142,0,28,2,59,16,37,0,0,0,0,0
case_007,cactus0p25,cactus (α=0.25),6986,1096,149,36,43,1,52,18,35,7,1,11,3,14
case_007,mentoredDec0p37,mentored_dec (α=0.37),24728,1084,407,41,90,0,148,60,109,6,0,13,13,9
case_007,rFuzzy0p3,r_fuzzy (α=0.3),17025,2956,444,118,132,3,119,88,102,15,0,48,21,34
case_007,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),13787,2398,314,0,92,2,74,77,69,0,0,0,0,0
case_007,specCascOpt0p05,spec_casc_opt (α=0.05),32662,4204,819,113,241,2,229,156,191,10,0,31,31,41
case_007,specCascTok0p3,spec_casc_tok (α=0.3),4418,107,40,2,5,0,13,2,20,1,0,0,0,1
case_007,specCascTokSemanticGuard0p3,spec_casc_tok_semantic_guard (α=0.3),3324,85,25,0,6,1,7,2,9,0,0,0,0,0
case_007,strict,strict,6038,0,95,0,13,0,27,14,41,0,0,0,0,0
case_008,cactus0p25,cactus (α=0.25),5165,740,107,26,23,0,48,15,21,4,0,13,4,5
case_008,mentoredDec0p37,mentored_dec (α=0.37),3441,152,40,3,8,1,14,2,15,1,0,1,0,1
case_008,rFuzzy0p3,r_fuzzy (α=0.3),10522,1877,365,73,88,2,120,54,101,6,0,35,7,25
case_008,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),5597,852,118,0,33,0,37,21,27,0,0,0,0,0
case_008,specCascOpt0p05,spec_casc_opt (α=0.05),32729,3819,920,135,296,5,222,185,212,23,0,43,36,33
case_008,specCascTok0p3,spec_casc_tok (α=0.3),2820,56,38,1,3,0,20,2,13,0,0,1,0,0
case_008,specCascTokSemanticGuard0p3,spec_casc_tok_semantic_guard (α=0.3),2549,64,19,0,4,0,9,1,5,0,0,0,0,0
case_008,strict,strict,1975,0,15,0,3,0,7,2,3,0,0,0,0,0
case_009,cactus0p25,cactus (α=0.25),6736,1078,128,37,37,0,40,14,37,9,0,11,5,12
case_009,mentoredDec0p37,mentored_dec (α=0.37),3172,141,30,4,6,1,15,3,5,1,0,2,1,0
case_009,rFuzzy0p3,r_fuzzy (α=0.3),18152,3352,574,140,182,2,130,115,145,16,2,47,48,27
case_009,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),25665,3882,679,1,304,1,112,143,119,0,1,0,0,0
case_009,specCascOpt0p05,spec_casc_opt (α=0.05),12111,1178,219,34,85,0,69,22,43,11,0,14,6,3
case_009,specCascTok0p3,spec_casc_tok (α=0.3),2269,71,20,0,3,0,9,1,7,0,0,0,0,0
case_009,specCascTokSemanticGuard0p3,spec_casc_tok_semantic_guard (α=0.3),2337,57,15,0,3,0,8,0,4,0,0,0,0,0
case_009,strict,strict,2917,0,26,0,6,0,11,1,8,0,0,0,0,0
case_010,cactus0p25,cactus (α=0.25),2302,303,34,7,4,2,7,6,15,0,1,0,4,2
case_010,mentoredDec0p37,mentored_dec (α=0.37),1658,67,9,1,4,0,0,4,1,0,0,0,1,0
case_010,rFuzzy0p3,r_fuzzy (α=0.3),2959,511,60,13,19,1,15,9,16,2,1,3,5,2
case_010,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),3234,497,63,0,29,0,13,8,13,0,0,0,0,0
case_010,specCascOpt0p05,spec_casc_opt (α=0.05),2349,207,35,7,10,0,5,8,12,3,0,0,0,4
case_010,specCascTok0p3,spec_casc_tok (α=0.3),1774,58,14,1,2,0,3,1,8,0,0,0,0,1
case_010,specCascTokSemanticGuard0p3,spec_casc_tok_semantic_guard (α=0.3),1986,59,30,0,6,0,5,2,17,0,0,0,0,0
case_010,strict,strict,1521,0,8,0,0,0,4,0,4,0,0,0,0,0
case_011,cactus0p25,cactus (α=0.25),32772,7080,1202,275,277,3,192,189,541,39,1,62,49,124
case_011,mentoredDec0p37,mentored_dec (α=0.37),29731,1469,534,53,116,3,145,67,203,12,1,17,8,15
case_011,rFuzzy0p3,r_fuzzy (α=0.3),27814,5649,1025,269,280,10,202,215,318,29,6,76,54,104
case_011,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),5023,842,93,0,32,0,22,10,29,0,0,0,0,0
case_011,specCascOpt0p05,spec_casc_opt (α=0.05),32750,3633,905,118,317,5,186,168,229,13,1,32,35,37
case_011,specCascTok0p3,spec_casc_tok (α=0.3),27605,770,610,22,102,1,121,48,338,3,0,4,4,11
case_011,specCascTokSemanticGuard0p3,spec_casc_tok_semantic_guard (α=0.3),15137,495,340,0,26,1,52,28,233,0,0,0,0,0
case_011,strict,strict,4729,0,73,0,15,0,22,4,32,0,0,0,0,0
case_012,cactus0p25,cactus (α=0.25),4187,900,89,20,16,2,18,5,48,3,0,4,2,11
case_012,mentoredDec0p37,mentored_dec (α=0.37),2894,156,27,2,5,0,9,3,10,0,0,1,0,1
case_012,rFuzzy0p3,r_fuzzy (α=0.3),2669,549,42,13,6,0,11,2,23,0,0,4,1,8
case_012,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),6584,1345,139,0,46,1,24,16,52,0,0,0,0,0
case_012,specCascOpt0p05,spec_casc_opt (α=0.05),5065,684,111,7,30,0,25,11,45,1,0,4,0,2
case_012,specCascTok0p3,spec_casc_tok (α=0.3),1842,39,25,1,6,0,6,1,12,1,0,0,0,0
case_012,specCascTokSemanticGuard0p3,spec_casc_tok_semantic_guard (α=0.3),2547,69,39,0,7,0,7,3,22,0,0,0,0,0
case_012,strict,strict,2072,0,22,0,6,0,5,2,9,0,0,0,0,0
case_013,cactus0p25,cactus (α=0.25),6250,852,107,19,24,0,30,15,38,1,0,10,1,7
case_013,mentoredDec0p37,mentored_dec (α=0.37),4250,162,42,7,8,0,13,2,19,2,0,1,0,4
case_013,rFuzzy0p3,r_fuzzy (α=0.3),6227,889,144,43,45,1,40,31,27,8,1,14,12,8
case_013,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),19083,2916,401,0,152,1,64,98,86,0,0,0,0,0
case_013,specCascOpt0p05,spec_casc_opt (α=0.05),8144,753,148,19,66,0,38,20,24,3,0,9,3,4
case_013,specCascTok0p3,spec_casc_tok (α=0.3),1658,25,10,0,1,0,3,2,4,0,0,0,0,0
case_013,specCascTokSemanticGuard0p3,spec_casc_tok_semantic_guard (α=0.3),1764,37,12,0,1,0,5,3,3,0,0,0,0,0
case_013,strict,strict,1494,0,6,0,2,0,2,1,1,0,0,0,0,0
case_014,cactus0p25,cactus (α=0.25),14294,3789,321,95,64,9,69,68,111,16,5,28,17,29
case_014,mentoredDec0p37,mentored_dec (α=0.37),30208,1788,496,60,68,5,102,73,248,9,1,11,12,27
case_014,rFuzzy0p3,r_fuzzy (α=0.3),7983,1776,178,44,42,7,41,33,55,10,3,9,1,21
case_014,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),8761,2082,143,0,30,4,25,25,59,0,0,0,0,0
case_014,specCascOpt0p05,spec_casc_opt (α=0.05),15671,2507,390,49,85,3,48,98,156,8,0,10,9,22
case_014,specCascTok0p3,spec_casc_tok (α=0.3),10033,365,165,4,24,1,28,23,89,1,0,0,0,3
case_014,specCascTokSemanticGuard0p3,spec_casc_tok_semantic_guard (α=0.3),32755,968,527,0,59,6,118,79,265,0,0,0,0,0
case_014,strict,strict,32713,0,625,0,69,7,120,86,343,0,0,0,0,0
case_015,cactus0p25,cactus (α=0.25),11381,2017,224,55,52,1,48,34,89,10,1,12,9,23
case_015,mentoredDec0p37,mentored_dec (α=0.37),11353,592,199,19,43,1,40,31,84,5,0,4,2,8
case_015,rFuzzy0p3,r_fuzzy (α=0.3),31460,6562,969,285,196,9,174,189,401,31,8,52,51,143
case_015,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),14556,2290,284,0,95,0,50,69,70,0,0,0,0,0
case_015,specCascOpt0p05,spec_casc_opt (α=0.05),32756,3666,776,99,241,1,120,95,319,8,0,20,23,48
case_015,specCascTok0p3,spec_casc_tok (α=0.3),6809,143,74,1,17,0,17,8,32,0,0,0,0,1
case_015,specCascTokSemanticGuard0p3,spec_casc_tok_semantic_guard (α=0.3),5181,93,42,0,11,0,16,2,13,0,0,0,0,0
case_015,strict,strict,4972,0,62,0,14,0,11,10,27,0,0,0,0,0
case_016,cactus0p25,cactus (α=0.25),16900,3789,473,111,97,1,72,55,248,9,0,22,15,65
case_016,mentoredDec0p37,mentored_dec (α=0.37),1478,59,8,1,1,0,3,0,4,0,0,0,0,1
case_016,rFuzzy0p3,r_fuzzy (α=0.3),4967,858,91,22,31,0,23,13,24,6,0,7,2,7
case_016,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),10710,1874,258,0,84,2,45,43,84,0,0,0,0,0
case_016,specCascOpt0p05,spec_casc_opt (α=0.05),5784,655,107,13,37,0,19,18,33,4,0,1,2,6
case_016,specCascTok0p3,spec_casc_tok (α=0.3),1217,24,6,0,0,0,1,0,5,0,0,0,0,0
case_016,specCascTokSemanticGuard0p3,spec_casc_tok_semantic_guard (α=0.3),1209,16,11,0,0,0,4,1,6,0,0,0,0,0
case_016,strict,strict,4338,0,34,0,7,0,9,3,15,0,0,0,0,0
case_017,cactus0p25,cactus (α=0.25),29191,7547,985,230,148,13,175,146,503,23,9,44,19,135
case_017,mentoredDec0p37,mentored_dec (α=0.37),14663,658,208,26,43,2,66,24,73,3,0,5,4,14
case_017,rFuzzy0p3,r_fuzzy (α=0.3),27062,4918,812,216,220,11,172,174,235,26,6,63,54,67
case_017,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),25032,5150,681,0,226,5,129,135,186,0,0,0,0,0
case_017,specCascOpt0p05,spec_casc_opt (α=0.05),32556,3812,861,106,213,9,165,139,335,11,2,20,23,50
case_017,specCascTok0p3,spec_casc_tok (α=0.3),6040,143,55,2,11,0,14,6,24,0,0,2,0,0
case_017,specCascTokSemanticGuard0p3,spec_casc_tok_semantic_guard (α=0.3),6608,148,83,0,21,0,25,11,26,0,0,0,0,0
case_017,strict,strict,21516,0,279,0,56,2,81,42,98,0,0,0,0,0
case_018,cactus0p25,cactus (α=0.25),11222,1890,232,44,58,2,61,24,87,9,2,10,11,12
case_018,mentoredDec0p37,mentored_dec (α=0.37),14277,677,198,15,32,0,99,13,54,3,0,5,0,7
case_018,rFuzzy0p3,r_fuzzy (α=0.3),30698,5453,962,238,269,7,227,199,260,34,2,67,59,76
case_018,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),26033,4695,666,0,247,3,136,100,180,0,0,0,0,0
case_018,specCascOpt0p05,spec_casc_opt (α=0.05),32758,3744,771,91,248,2,164,113,244,17,0,18,15,41
case_018,specCascTok0p3,spec_casc_tok (α=0.3),5266,106,63,1,12,0,18,6,27,0,0,0,0,1
case_018,specCascTokSemanticGuard0p3,spec_casc_tok_semantic_guard (α=0.3),5274,112,55,0,12,0,15,6,22,0,0,0,0,0
case_018,strict,strict,5299,0,58,0,10,0,20,5,23,0,0,0,0,0
case_019,cactus0p25,cactus (α=0.25),21858,4809,580,156,107,7,109,83,274,30,3,26,32,65
case_019,mentoredDec0p37,mentored_dec (α=0.37),32754,1823,623,79,95,3,157,63,305,5,0,17,12,45
case_019,rFuzzy0p3,r_fuzzy (α=0.3),15448,3505,455,123,99,4,70,64,218,15,0,24,25,59
case_019,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),18434,3585,390,0,113,6,84,90,97,0,0,0,0,0
case_019,specCascOpt0p05,spec_casc_opt (α=0.05),32763,5287,1090,135,250,0,101,93,646,17,0,9,20,89
case_019,specCascTok0p3,spec_casc_tok (α=0.3),15871,518,317,11,47,3,82,11,174,2,0,1,0,8
case_019,specCascTokSemanticGuard0p3,spec_casc_tok_semantic_guard (α=0.3),12940,429,183,0,26,1,46,15,95,0,0,0,0,0
case_019,strict,strict,11490,0,132,0,21,0,51,21,39,0,0,0,0,0
case_020,cactus0p25,cactus (α=0.25),23006,4408,657,165,117,7,194,93,246,19,4,53,21,68
case_020,mentoredDec0p37,mentored_dec (α=0.37),3272,148,34,5,7,0,7,3,17,1,0,1,0,3
case_020,rFuzzy0p3,r_fuzzy (α=0.3),31734,6145,1060,305,211,3,290,195,361,32,3,113,47,110
case_020,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),15435,2373,346,0,148,0,76,59,63,0,0,0,0,0
case_020,specCascOpt0p05,spec_casc_opt (α=0.05),8215,994,130,16,44,0,25,22,39,6,0,4,1,5
case_020,specCascTok0p3,spec_casc_tok (α=0.3),3429,79,26,0,7,0,7,4,8,0,0,0,0,0
case_020,specCascTokSemanticGuard0p3,spec_casc_tok_semantic_guard (α=0.3),4233,118,43,0,10,0,9,5,19,0,0,0,0,0
case_020,strict,strict,3328,0,42,0,10,1,13,3,15,0,0,0,0,0
case_021,cactus0p25,cactus (α=0.25),32698,7462,1112,277,142,2,220,127,621,33,2,51,29,162
case_021,mentoredDec0p37,mentored_dec (α=0.37),12292,673,210,13,36,1,68,12,93,1,0,3,2,7
case_021,rFuzzy0p3,r_fuzzy (α=0.3),32588,7627,1086,304,160,6,206,192,522,19,2,73,52,158
case_021,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),32712,7006,908,0,181,2,212,150,363,0,0,0,0,0
case_021,specCascOpt0p05,spec_casc_opt (α=0.05),13203,1781,288,34,78,1,77,31,101,8,0,8,3,15
case_021,specCascTok0p3,spec_casc_tok (α=0.3),5057,147,68,0,5,0,19,7,37,0,0,0,0,0
case_021,specCascTokSemanticGuard0p3,spec_casc_tok_semantic_guard (α=0.3),8874,288,149,0,17,0,53,9,70,0,0,0,0,0
case_021,strict,strict,9780,0,174,0,30,0,43,24,77,0,0,0,0,0
case_022,cactus0p25,cactus (α=0.25),13272,3636,318,58,28,2,57,45,186,11,2,13,4,28
case_022,mentoredDec0p37,mentored_dec (α=0.37),5598,353,90,10,18,0,27,11,34,2,0,0,2,6
case_022,rFuzzy0p3,r_fuzzy (α=0.3),8146,2051,174,42,29,1,58,18,68,6,1,12,3,20
case_022,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),12194,2638,238,0,52,3,67,29,87,0,0,0,0,0
case_022,specCascOpt0p05,spec_casc_opt (α=0.05),32764,4300,913,105,181,7,178,165,382,12,2,26,23,42
case_022,specCascTok0p3,spec_casc_tok (α=0.3),3092,96,43,2,9,0,11,5,18,0,0,1,0,1
case_022,specCascTokSemanticGuard0p3,spec_casc_tok_semantic_guard (α=0.3),1768,49,31,0,3,0,10,1,17,0,0,0,0,0
case_022,strict,strict,8463,0,121,0,24,1,29,14,53,0,0,0,0,0
case_023,cactus0p25,cactus (α=0.25),10965,2387,332,68,53,1,74,26,178,6,1,14,2,45
case_023,mentoredDec0p37,mentored_dec (α=0.37),8013,546,183,15,16,0,44,12,111,1,0,5,1,8
case_023,rFuzzy0p3,r_fuzzy (α=0.3),23423,5200,851,204,169,2,140,100,440,36,0,39,21,108
case_023,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),24761,5532,670,0,136,1,113,74,346,0,0,0,0,0
case_023,specCascOpt0p05,spec_casc_opt (α=0.05),11901,1578,322,41,71,2,50,32,167,9,0,9,1,22
case_023,specCascTok0p3,spec_casc_tok (α=0.3),3764,128,59,2,4,0,17,2,36,0,0,1,0,1
case_023,specCascTokSemanticGuard0p3,spec_casc_tok_semantic_guard (α=0.3),16114,580,497,0,71,3,77,11,335,0,0,0,0,0
case_023,strict,strict,7789,0,169,0,14,0,43,2,110,0,0,0,0,0
case_024,cactus0p25,cactus (α=0.25),26278,5965,878,204,173,9,157,138,401,23,4,45,41,91
case_024,mentoredDec0p37,mentored_dec (α=0.37),3634,153,26,2,5,0,8,1,12,0,0,0,0,2
case_024,rFuzzy0p3,r_fuzzy (α=0.3),5228,936,120,32,45,0,20,23,32,7,0,7,8,10
case_024,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),7730,1332,172,0,52,0,32,31,57,0,0,0,0,0
case_024,specCascOpt0p05,spec_casc_opt (α=0.05),11519,1328,230,22,74,1,52,28,75,5,0,7,4,6
case_024,specCascTok0p3,spec_casc_tok (α=0.3),2995,71,29,1,3,0,9,2,15,1,0,0,0,0
case_024,specCascTokSemanticGuard0p3,spec_casc_tok_semantic_guard (α=0.3),4508,98,52,0,4,0,21,3,24,0,0,0,0,0
case_024,strict,strict,20172,0,213,0,54,0,64,23,72,0,0,0,0,0
case_025,cactus0p25,cactus (α=0.25),2782,237,23,2,5,0,10,3,5,0,0,1,1,0
case_025,mentoredDec0p37,mentored_dec (α=0.37),2745,75,21,1,6,0,12,0,3,0,0,0,0,1
case_025,rFuzzy0p3,r_fuzzy (α=0.3),8897,1166,194,43,69,0,63,35,27,9,0,23,5,6
case_025,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),10413,1333,237,0,129,1,55,30,22,0,0,0,0,0
case_025,specCascOpt0p05,spec_casc_opt (α=0.05),6382,486,91,3,40,3,26,14,8,1,0,1,1,0
case_025,specCascTok0p3,spec_casc_tok (α=0.3),1548,23,3,0,0,0,1,0,2,0,0,0,0,0
case_025,specCascTokSemanticGuard0p3,spec_casc_tok_semantic_guard (α=0.3),1548,23,3,0,0,0,1,0,2,0,0,0,0,0
case_025,strict,strict,3045,0,24,0,6,0,8,2,8,0,0,0,0,0
case_026,cactus0p25,cactus (α=0.25),32754,8392,937,228,125,7,130,119,556,23,3,44,31,127
case_026,mentoredDec0p37,mentored_dec (α=0.37),32762,1547,506,52,95,3,143,61,204,6,0,14,11,21
case_026,rFuzzy0p3,r_fuzzy (α=0.3),29298,7043,819,227,128,5,175,136,375,23,2,54,44,104
case_026,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),22774,4851,497,0,119,2,93,104,179,0,0,0,0,0
case_026,specCascOpt0p05,spec_casc_opt (α=0.05),32757,4237,908,107,256,3,145,133,371,9,1,21,26,50
case_026,specCascTok0p3,spec_casc_tok (α=0.3),22446,532,320,11,47,1,82,32,158,1,0,7,1,2
case_026,specCascTokSemanticGuard0p3,spec_casc_tok_semantic_guard (α=0.3),32714,798,478,0,83,1,118,41,235,0,0,0,0,0
case_026,strict,strict,32729,0,480,0,97,7,131,69,176,0,0,0,0,0
case_027,cactus0p25,cactus (α=0.25),4352,658,79,17,21,0,20,7,31,4,0,6,3,4
case_027,mentoredDec0p37,mentored_dec (α=0.37),2455,102,26,3,5,0,12,2,7,1,0,0,0,2
case_027,rFuzzy0p3,r_fuzzy (α=0.3),6856,1017,173,33,62,1,44,15,51,7,0,13,3,10
case_027,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),5149,841,134,0,55,1,28,22,28,0,0,0,0,0
case_027,specCascOpt0p05,spec_casc_opt (α=0.05),4429,447,77,10,22,0,20,2,33,2,0,2,0,6
case_027,specCascTok0p3,spec_casc_tok (α=0.3),2119,46,16,0,3,0,5,0,8,0,0,0,0,0
case_027,specCascTokSemanticGuard0p3,spec_casc_tok_semantic_guard (α=0.3),1901,39,19,0,1,0,7,1,10,0,0,0,0,0
case_027,strict,strict,2186,0,24,0,6,0,6,2,10,0,0,0,0,0
case_028,cactus0p25,cactus (α=0.25),31254,5938,991,247,287,3,230,163,308,41,2,73,45,86
case_028,mentoredDec0p37,mentored_dec (α=0.37),11806,622,180,20,42,3,55,16,64,5,0,5,4,6
case_028,rFuzzy0p3,r_fuzzy (α=0.3),32387,6836,1142,332,270,7,247,227,391,49,2,90,72,119
case_028,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),32326,5645,857,0,327,5,168,211,146,0,0,0,0,0
case_028,specCascOpt0p05,spec_casc_opt (α=0.05),32028,3248,654,78,246,2,130,74,202,8,1,18,19,32
case_028,specCascTok0p3,spec_casc_tok (α=0.3),13543,303,142,3,32,0,57,9,44,0,0,1,0,2
case_028,specCascTokSemanticGuard0p3,spec_casc_tok_semantic_guard (α=0.3),4013,77,18,0,6,0,7,3,2,0,0,0,0,0
case_028,strict,strict,3569,0,25,0,9,0,9,1,6,0,0,0,0,0
case_029,cactus0p25,cactus (α=0.25),27218,6715,602,165,111,6,134,129,222,17,4,45,19,80
case_029,mentoredDec0p37,mentored_dec (α=0.37),14035,954,271,43,52,3,44,41,131,7,0,11,8,17
case_029,rFuzzy0p3,r_fuzzy (α=0.3),7449,1731,202,48,42,7,49,45,59,8,2,19,4,15
case_029,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),7791,1743,131,0,22,6,27,40,36,0,0,0,0,0
case_029,specCascOpt0p05,spec_casc_opt (α=0.05),14825,2133,430,47,108,4,51,91,176,5,1,13,5,23
case_029,specCascTok0p3,spec_casc_tok (α=0.3),19555,586,335,13,61,0,74,47,153,4,0,3,3,3
case_029,specCascTokSemanticGuard0p3,spec_casc_tok_semantic_guard (α=0.3),24356,763,448,0,93,3,89,69,194,0,0,0,0,0
case_029,strict,strict,10671,0,158,0,26,0,35,24,73,0,0,0,0,0
case_030,cactus0p25,cactus (α=0.25),32767,9035,951,220,78,3,85,49,736,18,3,14,16,169
case_030,mentoredDec0p37,mentored_dec (α=0.37),6371,489,121,9,10,0,23,9,79,1,0,3,2,3
case_030,rFuzzy0p3,r_fuzzy (α=0.3),31158,8534,978,224,75,1,72,62,768,16,1,17,23,167
case_030,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),25099,6722,564,0,54,2,51,44,413,0,0,0,0,0
case_030,specCascOpt0p05,spec_casc_opt (α=0.05),23014,3567,668,91,110,3,56,27,472,4,0,5,7,75
case_030,specCascTok0p3,spec_casc_tok (α=0.3),8669,337,182,11,25,0,32,6,119,2,0,2,0,7
