case,tag,arm,total_tokens,relaxed_only_tokens,hesitation_total,hesitation_relaxed_only,wait_total,hmm_total,lets_total,actually_total,but_total,wait_relaxed_only,hmm_relaxed_only,lets_relaxed_only,actually_relaxed_only,but_relaxed_only
case_008,strict,strict,407,0,3,0,0,0,1,0,2,0,0,0,0,0
case_009,cactus0p25,cactus (α=0.25),422,40,2,0,0,0,1,0,1,0,0,0,0,0
case_009,mentoredDec0p37,mentored_dec (α=0.37),313,14,3,0,0,0,0,0,3,0,0,0,0,0
case_009,rFuzzy0p3,r_fuzzy (α=0.3),440,81,10,4,0,0,4,2,4,0,0,1,1,2
case_009,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),397,67,0,0,0,0,0,0,0,0,0,0,0,0
case_009,specCascOpt0p05,spec_casc_opt (α=0.05),384,25,3,0,0,0,2,0,1,0,0,0,0,0
case_009,specCascTok0p3,spec_casc_tok (α=0.3),258,3,0,0,0,0,0,0,0,0,0,0,0,0
case_009,specCascTokSemanticGuard0p3,spec_casc_tok_semantic_guard (α=0.3),258,3,0,0,0,0,0,0,0,0,0,0,0,0
case_009,strict,strict,351,0,2,0,0,0,1,0,1,0,0,0,0,0
case_010,cactus0p25,cactus (α=0.25),772,89,8,3,0,0,3,1,4,0,0,0,1,2
case_010,mentoredDec0p37,mentored_dec (α=0.37),411,20,3,0,0,0,1,0,2,0,0,0,0,0
case_010,rFuzzy0p3,r_fuzzy (α=0.3),519,69,3,2,1,0,2,0,0,1,0,1,0,0
case_010,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),643,97,5,0,0,0,1,0,4,0,0,0,0,0
case_010,specCascOpt0p05,spec_casc_opt (α=0.05),585,35,3,0,0,0,2,0,1,0,0,0,0,0
case_010,specCascTok0p3,spec_casc_tok (α=0.3),268,6,1,0,0,0,1,0,0,0,0,0,0,0
case_010,specCascTokSemanticGuard0p3,spec_casc_tok_semantic_guard (α=0.3),268,6,1,0,0,0,1,0,0,0,0,0,0,0
case_010,strict,strict,483,0,5,0,0,0,3,0,2,0,0,0,0,0
case_011,cactus0p25,cactus (α=0.25),925,185,8,4,1,0,4,1,2,1,0,1,1,1
case_011,mentoredDec0p37,mentored_dec (α=0.37),1286,91,12,3,2,0,4,1,5,0,0,2,0,1
case_011,rFuzzy0p3,r_fuzzy (α=0.3),3700,644,82,22,24,0,20,14,24,1,0,8,4,9
case_011,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),2206,366,46,0,6,1,11,11,17,0,0,0,0,0
case_011,specCascOpt0p05,spec_casc_opt (α=0.05),9007,1195,214,24,47,4,64,35,64,5,1,8,3,7
case_011,specCascTok0p3,spec_casc_tok (α=0.3),842,17,13,1,0,0,6,1,6,0,0,0,0,1
case_011,specCascTokSemanticGuard0p3,spec_casc_tok_semantic_guard (α=0.3),1324,35,21,0,2,0,5,3,11,0,0,0,0,0
case_011,strict,strict,1258,0,23,0,4,0,5,3,11,0,0,0,0,0
case_012,cactus0p25,cactus (α=0.25),563,92,4,0,0,0,2,0,2,0,0,0,0,0
case_012,mentoredDec0p37,mentored_dec (α=0.37),500,25,2,0,0,0,2,0,0,0,0,0,0,0
case_012,rFuzzy0p3,r_fuzzy (α=0.3),595,93,7,2,1,0,2,1,3,0,0,1,0,1
case_012,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),477,56,2,0,0,0,1,0,1,0,0,0,0,0
case_012,specCascOpt0p05,spec_casc_opt (α=0.05),573,51,3,0,0,0,1,0,2,0,0,0,0,0
case_012,specCascTok0p3,spec_casc_tok (α=0.3),373,9,2,0,0,0,0,0,2,0,0,0,0,0
case_012,specCascTokSemanticGuard0p3,spec_casc_tok_semantic_guard (α=0.3),355,9,3,0,0,0,1,0,2,0,0,0,0,0
case_012,strict,strict,469,0,3,0,0,0,2,0,1,0,0,0,0,0
case_013,cactus0p25,cactus (α=0.25),326,48,1,0,0,0,1,0,0,0,0,0,0,0
case_013,mentoredDec0p37,mentored_dec (α=0.37),515,25,7,1,0,0,2,1,4,0,0,0,0,1
case_013,rFuzzy0p3,r_fuzzy (α=0.3),469,91,2,0,0,0,0,0,2,0,0,0,0,0
case_013,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),469,91,2,0,0,0,0,0,2,0,0,0,0,0
case_013,specCascOpt0p05,spec_casc_opt (α=0.05),610,85,16,2,1,0,3,3,9,1,0,0,0,1
case_013,specCascTok0p3,spec_casc_tok (α=0.3),322,8,4,0,0,0,0,1,3,0,0,0,0,0
case_013,specCascTokSemanticGuard0p3,spec_casc_tok_semantic_guard (α=0.3),546,22,8,0,0,0,4,1,3,0,0,0,0,0
case_013,strict,strict,407,0,6,0,0,0,2,1,3,0,0,0,0,0
case_014,cactus0p25,cactus (α=0.25),421,31,4,1,0,0,1,0,3,0,0,0,0,1
case_014,mentoredDec0p37,mentored_dec (α=0.37),406,16,0,0,0,0,0,0,0,0,0,0,0,0
case_014,rFuzzy0p3,r_fuzzy (α=0.3),592,54,2,0,0,0,1,0,1,0,0,0,0,0
case_014,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),592,54,2,0,0,0,1,0,1,0,0,0,0,0
case_014,specCascOpt0p05,spec_casc_opt (α=0.05),597,50,5,1,0,0,0,0,5,0,0,0,0,1
case_014,specCascTok0p3,spec_casc_tok (α=0.3),343,4,0,0,0,0,0,0,0,0,0,0,0,0
case_014,specCascTokSemanticGuard0p3,spec_casc_tok_semantic_guard (α=0.3),343,4,0,0,0,0,0,0,0,0,0,0,0,0
case_014,strict,strict,290,0,1,0,0,0,0,0,1,0,0,0,0,0
case_015,cactus0p25,cactus (α=0.25),258,23,0,0,0,0,0,0,0,0,0,0,0,0
case_015,mentoredDec0p37,mentored_dec (α=0.37),516,26,3,0,0,0,1,0,2,0,0,0,0,0
case_015,rFuzzy0p3,r_fuzzy (α=0.3),506,88,6,3,0,0,2,0,4,0,0,0,0,3
case_015,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),539,85,5,0,1,0,0,1,3,0,0,0,0,0
case_015,specCascOpt0p05,spec_casc_opt (α=0.05),376,54,0,0,0,0,0,0,0,0,0,0,0,0
case_015,specCascTok0p3,spec_casc_tok (α=0.3),271,7,0,0,0,0,0,0,0,0,0,0,0,0
case_015,specCascTokSemanticGuard0p3,spec_casc_tok_semantic_guard (α=0.3),271,7,0,0,0,0,0,0,0,0,0,0,0,0
case_015,strict,strict,423,0,4,0,0,0,2,0,2,0,0,0,0,0
case_016,cactus0p25,cactus (α=0.25),662,105,13,4,0,0,2,1,10,0,0,1,1,2
case_016,mentoredDec0p37,mentored_dec (α=0.37),490,31,11,3,0,0,1,1,9,0,0,0,0,3
case_016,rFuzzy0p3,r_fuzzy (α=0.3),601,92,13,2,0,0,1,1,11,0,0,0,0,2
case_016,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),599,83,7,0,0,0,2,0,5,0,0,0,0,0
case_016,specCascOpt0p05,spec_casc_opt (α=0.05),416,49,4,0,2,0,0,1,1,0,0,0,0,0
case_016,specCascTok0p3,spec_casc_tok (α=0.3),293,7,2,0,0,0,0,0,2,0,0,0,0,0
case_016,specCascTokSemanticGuard0p3,spec_casc_tok_semantic_guard (α=0.3),293,7,2,0,0,0,0,0,2,0,0,0,0,0
case_016,strict,strict,481,0,5,0,0,0,0,0,5,0,0,0,0,0
case_017,cactus0p25,cactus (α=0.25),545,74,4,1,0,0,1,0,3,0,0,0,0,1
case_017,mentoredDec0p37,mentored_dec (α=0.37),500,25,7,1,0,0,2,0,5,0,0,0,0,1
case_017,rFuzzy0p3,r_fuzzy (α=0.3),276,47,2,0,0,0,1,0,1,0,0,0,0,0
case_017,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),276,47,2,0,0,0,1,0,1,0,0,0,0,0
case_017,specCascOpt0p05,spec_casc_opt (α=0.05),474,49,6,0,0,0,4,0,2,0,0,0,0,0
case_017,specCascTok0p3,spec_casc_tok (α=0.3),477,11,7,1,0,0,2,0,5,0,0,0,0,1
case_017,specCascTokSemanticGuard0p3,spec_casc_tok_semantic_guard (α=0.3),395,10,3,0,0,0,1,0,2,0,0,0,0,0
case_017,strict,strict,394,0,1,0,0,0,0,0,1,0,0,0,0,0
case_018,cactus0p25,cactus (α=0.25),1680,262,37,11,6,1,4,4,22,3,0,1,2,5
case_018,mentoredDec0p37,mentored_dec (α=0.37),662,40,3,0,0,0,1,0,2,0,0,0,0,0
case_018,rFuzzy0p3,r_fuzzy (α=0.3),1637,252,32,6,6,0,4,4,18,3,0,0,1,2
case_018,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),1654,245,23,0,1,0,4,3,15,0,0,0,0,0
case_018,specCascOpt0p05,spec_casc_opt (α=0.05),2892,268,66,6,18,0,11,8,29,1,0,0,0,5
case_018,specCascTok0p3,spec_casc_tok (α=0.3),691,11,4,0,0,0,2,0,2,0,0,0,0,0
case_018,specCascTokSemanticGuard0p3,spec_casc_tok_semantic_guard (α=0.3),691,11,4,0,0,0,2,0,2,0,0,0,0,0
case_018,strict,strict,644,0,5,0,0,0,2,0,3,0,0,0,0,0
case_019,cactus0p25,cactus (α=0.25),607,100,9,4,0,0,3,0,6,0,0,1,0,3
case_019,mentoredDec0p37,mentored_dec (α=0.37),484,22,4,1,0,0,1,1,2,0,0,0,1,0
case_019,rFuzzy0p3,r_fuzzy (α=0.3),494,60,6,1,1,0,2,1,2,0,0,0,0,1
case_019,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),443,52,2,0,0,0,2,0,0,0,0,0,0,0
case_019,specCascOpt0p05,spec_casc_opt (α=0.05),510,45,4,1,0,0,3,1,0,0,0,0,1,0
case_019,specCascTok0p3,spec_casc_tok (α=0.3),428,7,1,0,0,0,1,0,0,0,0,0,0,0
case_019,specCascTokSemanticGuard0p3,spec_casc_tok_semantic_guard (α=0.3),312,8,4,0,0,0,1,0,3,0,0,0,0,0
case_019,strict,strict,655,0,7,0,1,0,2,1,3,0,0,0,0,0
case_020,cactus0p25,cactus (α=0.25),872,143,9,3,0,0,2,0,7,0,0,0,0,3
case_020,mentoredDec0p37,mentored_dec (α=0.37),396,12,1,0,0,0,1,0,0,0,0,0,0,0
case_020,rFuzzy0p3,r_fuzzy (α=0.3),1396,202,15,4,2,0,3,3,7,0,0,2,0,2
case_020,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),589,74,4,0,1,0,1,1,1,0,0,0,0,0
case_020,specCascOpt0p05,spec_casc_opt (α=0.05),1001,89,5,1,1,0,1,0,3,0,0,0,0,1
case_020,specCascTok0p3,spec_casc_tok (α=0.3),509,10,4,0,0,0,2,0,2,0,0,0,0,0
case_020,specCascTokSemanticGuard0p3,spec_casc_tok_semantic_guard (α=0.3),509,10,4,0,0,0,2,0,2,0,0,0,0,0
case_020,strict,strict,579,0,4,0,0,0,2,0,2,0,0,0,0,0
case_021,cactus0p25,cactus (α=0.25),2436,353,42,5,4,0,2,5,31,0,0,0,1,4
case_021,mentoredDec0p37,mentored_dec (α=0.37),1320,50,14,1,0,0,4,1,9,0,0,0,0,1
case_021,rFuzzy0p3,r_fuzzy (α=0.3),1432,213,14,2,2,0,2,4,6,0,0,0,0,2
case_021,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),803,102,3,0,0,0,0,0,3,0,0,0,0,0
case_021,specCascOpt0p05,spec_casc_opt (α=0.05),731,46,3,0,0,0,3,0,0,0,0,0,0,0
case_021,specCascTok0p3,spec_casc_tok (α=0.3),1029,20,9,1,0,0,2,1,6,0,0,0,0,1
case_021,specCascTokSemanticGuard0p3,spec_casc_tok_semantic_guard (α=0.3),757,14,5,0,0,0,3,0,2,0,0,0,0,0
case_021,strict,strict,930,0,4,0,0,0,1,0,3,0,0,0,0,0
case_022,cactus0p25,cactus (α=0.25),590,82,10,2,0,0,2,1,7,0,0,0,1,1
case_022,mentoredDec0p37,mentored_dec (α=0.37),797,28,11,1,0,0,2,0,9,0,0,0,0,1
case_022,rFuzzy0p3,r_fuzzy (α=0.3),671,71,10,3,1,0,1,2,6,1,0,0,0,2
case_022,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),638,98,8,0,0,0,3,2,3,0,0,0,0,0
case_022,specCascOpt0p05,spec_casc_opt (α=0.05),857,74,11,2,0,0,0,0,11,0,0,0,0,2
case_022,specCascTok0p3,spec_casc_tok (α=0.3),508,4,7,0,0,0,1,0,6,0,0,0,0,0
case_022,specCascTokSemanticGuard0p3,spec_casc_tok_semantic_guard (α=0.3),508,4,7,0,0,0,1,0,6,0,0,0,0,0
case_022,strict,strict,761,0,14,0,0,0,1,0,13,0,0,0,0,0
case_023,cactus0p25,cactus (α=0.25),446,76,6,3,0,0,0,0,6,0,0,0,0,3
case_023,mentoredDec0p37,mentored_dec (α=0.37),591,26,9,0,0,0,0,0,9,0,0,0,0,0
case_023,rFuzzy0p3,r_fuzzy (α=0.3),504,73,11,2,0,0,2,0,9,0,0,0,0,2
case_023,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),517,70,11,0,0,0,2,0,9,0,0,0,0,0
case_023,specCascOpt0p05,spec_casc_opt (α=0.05),919,74,14,2,2,0,0,1,11,0,0,0,0,2
case_023,specCascTok0p3,spec_casc_tok (α=0.3),587,19,12,1,0,0,0,0,12,0,0,0,0,1
case_023,specCascTokSemanticGuard0p3,spec_casc_tok_semantic_guard (α=0.3),539,16,11,0,0,0,0,0,11,0,0,0,0,0
case_023,strict,strict,603,0,11,0,0,0,2,0,9,0,0,0,0,0
case_024,cactus0p25,cactus (α=0.25),341,58,3,1,0,0,0,0,3,0,0,0,0,1
case_024,mentoredDec0p37,mentored_dec (α=0.37),271,23,3,1,0,0,1,0,2,0,0,1,0,0
case_024,rFuzzy0p3,r_fuzzy (α=0.3),263,43,7,0,0,0,0,0,7,0,0,0,0,0
case_024,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),263,43,7,0,0,0,0,0,7,0,0,0,0,0
case_024,specCascOpt0p05,spec_casc_opt (α=0.05),122,12,1,0,0,0,0,0,1,0,0,0,0,0
case_024,specCascTok0p3,spec_casc_tok (α=0.3),307,5,1,0,0,0,0,0,1,0,0,0,0,0
case_024,specCascTokSemanticGuard0p3,spec_casc_tok_semantic_guard (α=0.3),307,5,1,0,0,0,0,0,1,0,0,0,0,0
case_024,strict,strict,309,0,7,0,0,0,2,0,5,0,0,0,0,0
case_025,cactus0p25,cactus (α=0.25),1216,209,26,11,3,0,3,5,15,1,0,1,4,5
case_025,mentoredDec0p37,mentored_dec (α=0.37),1876,96,18,2,0,0,2,1,15,0,0,0,0,2
case_025,rFuzzy0p3,r_fuzzy (α=0.3),1465,254,27,6,1,0,4,1,21,1,0,0,0,5
case_025,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),9004,1718,223,0,44,2,12,37,128,0,0,0,0,0
case_025,specCascOpt0p05,spec_casc_opt (α=0.05),796,94,19,2,0,0,3,2,14,0,0,0,0,2
case_025,specCascTok0p3,spec_casc_tok (α=0.3),821,33,19,1,0,0,6,0,13,0,0,0,0,1
case_025,specCascTokSemanticGuard0p3,spec_casc_tok_semantic_guard (α=0.3),1080,24,19,0,1,0,2,0,16,0,0,0,0,0
case_025,strict,strict,534,0,3,0,0,0,1,0,2,0,0,0,0,0
case_026,cactus0p25,cactus (α=0.25),584,76,3,0,0,0,1,0,2,0,0,0,0,0
case_026,mentoredDec0p37,mentored_dec (α=0.37),837,35,6,2,0,0,2,0,4,0,0,1,0,1
case_026,rFuzzy0p3,r_fuzzy (α=0.3),817,115,7,3,0,0,1,0,6,0,0,0,0,3
case_026,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),735,110,3,0,0,0,1,0,2,0,0,0,0,0
case_026,specCascOpt0p05,spec_casc_opt (α=0.05),755,58,4,0,0,0,2,0,2,0,0,0,0,0
case_026,specCascTok0p3,spec_casc_tok (α=0.3),408,9,3,0,0,0,2,0,1,0,0,0,0,0
case_026,specCascTokSemanticGuard0p3,spec_casc_tok_semantic_guard (α=0.3),408,9,3,0,0,0,2,0,1,0,0,0,0,0
case_026,strict,strict,607,0,3,0,0,0,1,0,2,0,0,0,0,0
case_027,cactus0p25,cactus (α=0.25),659,90,9,1,0,0,1,0,8,0,0,0,0,1
case_027,mentoredDec0p37,mentored_dec (α=0.37),263,10,1,0,0,0,1,0,0,0,0,0,0,0
case_027,rFuzzy0p3,r_fuzzy (α=0.3),631,99,5,1,0,0,2,0,3,0,0,0,0,1
case_027,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),935,151,5,0,0,0,0,0,5,0,0,0,0,0
case_027,specCascOpt0p05,spec_casc_opt (α=0.05),464,46,7,1,1,0,2,1,3,1,0,0,0,0
case_027,specCascTok0p3,spec_casc_tok (α=0.3),416,7,1,0,0,0,1,0,0,0,0,0,0,0
case_027,specCascTokSemanticGuard0p3,spec_casc_tok_semantic_guard (α=0.3),482,9,6,0,0,0,2,0,4,0,0,0,0,0
case_027,strict,strict,423,0,1,0,0,0,1,0,0,0,0,0,0,0
case_028,cactus0p25,cactus (α=0.25),354,58,9,3,2,0,4,0,3,2,0,1,0,0
case_028,mentoredDec0p37,mentored_dec (α=0.37),330,25,3,1,0,0,0,0,3,0,0,0,0,1
case_028,rFuzzy0p3,r_fuzzy (α=0.3),447,62,6,1,0,0,3,0,3,0,0,1,0,0
case_028,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),301,51,1,0,0,0,0,0,1,0,0,0,0,0
case_028,specCascOpt0p05,spec_casc_opt (α=0.05),190,15,1,0,0,0,1,0,0,0,0,0,0,0
case_028,specCascTok0p3,spec_casc_tok (α=0.3),215,3,5,0,0,0,2,0,3,0,0,0,0,0
case_028,specCascTokSemanticGuard0p3,spec_casc_tok_semantic_guard (α=0.3),215,3,5,0,0,0,2,0,3,0,0,0,0,0
case_028,strict,strict,317,0,7,0,0,0,2,0,5,0,0,0,0,0
case_029,cactus0p25,cactus (α=0.25),216,26,0,0,0,0,0,0,0,0,0,0,0,0
case_029,mentoredDec0p37,mentored_dec (α=0.37),274,12,3,0,0,0,1,0,2,0,0,0,0,0
case_029,rFuzzy0p3,r_fuzzy (α=0.3),378,68,7,1,0,0,1,0,6,0,0,0,0,1
case_029,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),398,66,7,0,0,0,1,0,6,0,0,0,0,0
case_029,specCascOpt0p05,spec_casc_opt (α=0.05),248,19,2,0,0,0,0,0,2,0,0,0,0,0
case_029,specCascTok0p3,spec_casc_tok (α=0.3),423,6,8,0,0,0,1,0,7,0,0,0,0,0
case_029,specCascTokSemanticGuard0p3,spec_casc_tok_semantic_guard (α=0.3),423,6,8,0,0,0,1,0,7,0,0,0,0,0
case_029,strict,strict,280,0,5,0,0,0,2,0,3,0,0,0,0,0
case_030,cactus0p25,cactus (α=0.25),372,53,2,1,0,0,1,0,1,0,0,1,0,0
case_030,mentoredDec0p37,mentored_dec (α=0.37),582,23,5,0,0,0,0,0,5,0,0,0,0,0
case_030,rFuzzy0p3,r_fuzzy (α=0.3),390,56,3,1,0,0,1,0,2,0,0,0,0,1
case_030,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),367,60,0,0,0,0,0,0,0,0,0,0,0,0
case_030,specCascOpt0p05,spec_casc_opt (α=0.05),392,24,0,0,0,0,0,0,0,0,0,0,0,0
case_030,specCascTok0p3,spec_casc_tok (α=0.3),314,6,2,0,0,0,1,0,1,0,0,0,0,0
case_030,specCascTokSemanticGuard0p3,spec_casc_tok_semantic_guard (α=0.3),314,6,2,0,0,0,1,0,1,0,0,0,0,0
case_030,strict,strict,360,0,1,0,0,0,0,0,1,0,0,0,0,0
case_031,cactus0p25,cactus (α=0.25),880,126,7,2,0,0,2,0,5,0,0,1,0,1
case_031,mentoredDec0p37,mentored_dec (α=0.37),333,9,1,1,0,0,0,0,1,0,0,0,0,1
case_031,rFuzzy0p3,r_fuzzy (α=0.3),485,75,2,1,0,0,0,0,2,0,0,0,0,1
