case,tag,arm,completion_tokens,wait,hmm,lets,actually,but,total
case_012,rFuzzy0p3,r_fuzzy (α=0.3),593,1,0,2,1,3,7
case_012,specCascOpt0p05,spec_casc_opt (α=0.05),572,0,0,1,0,2,3
case_012,specCascTok0p3,spec_casc_tok (α=0.3),370,0,0,0,0,2,2
case_012,strict,strict,466,0,0,2,0,1,3
case_013,cactus0p25,cactus (α=0.25),321,0,0,1,0,0,1
case_013,mentoredDec0p37,mentored_dec (α=0.37),514,0,0,2,1,4,7
case_013,rFuzzy0p3,r_fuzzy (α=0.3),467,0,0,0,0,2,2
case_013,specCascOpt0p05,spec_casc_opt (α=0.05),605,1,0,3,3,9,16
case_013,specCascTok0p3,spec_casc_tok (α=0.3),319,0,0,0,1,3,4
case_013,strict,strict,406,0,0,2,1,3,6
case_014,cactus0p25,cactus (α=0.25),413,0,0,1,0,3,4
case_014,mentoredDec0p37,mentored_dec (α=0.37),404,0,0,0,0,0,0
case_014,rFuzzy0p3,r_fuzzy (α=0.3),591,0,0,1,0,1,2
case_014,specCascOpt0p05,spec_casc_opt (α=0.05),595,0,0,0,0,5,5
case_014,specCascTok0p3,spec_casc_tok (α=0.3),342,0,0,0,0,0,0
case_014,strict,strict,288,0,0,0,0,1,1
case_015,cactus0p25,cactus (α=0.25),256,0,0,0,0,0,0
case_015,mentoredDec0p37,mentored_dec (α=0.37),513,0,0,1,0,2,3
case_015,rFuzzy0p3,r_fuzzy (α=0.3),504,0,0,2,0,4,6
case_015,specCascOpt0p05,spec_casc_opt (α=0.05),375,0,0,0,0,0,0
case_015,specCascTok0p3,spec_casc_tok (α=0.3),268,0,0,0,0,0,0
case_015,strict,strict,421,0,0,2,0,2,4
case_016,cactus0p25,cactus (α=0.25),661,0,0,2,1,10,13
case_016,mentoredDec0p37,mentored_dec (α=0.37),488,0,0,1,1,9,11
case_016,rFuzzy0p3,r_fuzzy (α=0.3),599,0,0,1,1,11,13
case_016,specCascOpt0p05,spec_casc_opt (α=0.05),412,2,0,0,1,1,4
case_016,specCascTok0p3,spec_casc_tok (α=0.3),285,0,0,0,0,2,2
case_016,strict,strict,479,0,0,0,0,5,5
case_017,cactus0p25,cactus (α=0.25),542,0,0,1,0,3,4
case_017,mentoredDec0p37,mentored_dec (α=0.37),498,0,0,2,0,5,7
case_017,rFuzzy0p3,r_fuzzy (α=0.3),268,0,0,1,0,1,2
case_017,specCascOpt0p05,spec_casc_opt (α=0.05),473,0,0,4,0,2,6
case_017,specCascTok0p3,spec_casc_tok (α=0.3),475,0,0,2,0,5,7
case_017,strict,strict,393,0,0,0,0,1,1
case_018,cactus0p25,cactus (α=0.25),1678,6,1,4,4,22,37
case_018,mentoredDec0p37,mentored_dec (α=0.37),661,0,0,1,0,2,3
case_018,rFuzzy0p3,r_fuzzy (α=0.3),1630,6,0,4,4,18,32
case_018,specCascOpt0p05,spec_casc_opt (α=0.05),2887,18,0,11,8,29,66
case_018,specCascTok0p3,spec_casc_tok (α=0.3),689,0,0,2,0,2,4
case_018,strict,strict,643,0,0,2,0,3,5
case_019,cactus0p25,cactus (α=0.25),595,0,0,3,0,6,9
case_019,mentoredDec0p37,mentored_dec (α=0.37),481,0,0,1,1,2,4
case_019,rFuzzy0p3,r_fuzzy (α=0.3),494,1,0,2,1,2,6
case_019,specCascOpt0p05,spec_casc_opt (α=0.05),509,0,0,3,1,0,4
case_019,specCascTok0p3,spec_casc_tok (α=0.3),427,0,0,1,0,0,1
case_019,strict,strict,653,1,0,2,1,3,7
case_020,cactus0p25,cactus (α=0.25),870,0,0,2,0,7,9
case_020,mentoredDec0p37,mentored_dec (α=0.37),394,0,0,1,0,0,1
case_020,rFuzzy0p3,r_fuzzy (α=0.3),1394,2,0,3,3,7,15
case_020,specCascOpt0p05,spec_casc_opt (α=0.05),993,1,0,1,0,3,5
case_020,specCascTok0p3,spec_casc_tok (α=0.3),506,0,0,2,0,2,4
case_020,strict,strict,578,0,0,2,0,2,4
case_021,cactus0p25,cactus (α=0.25),2435,4,0,2,5,31,42
case_021,mentoredDec0p37,mentored_dec (α=0.37),1312,0,0,4,1,9,14
case_021,rFuzzy0p3,r_fuzzy (α=0.3),1429,2,0,2,4,6,14
case_021,specCascOpt0p05,spec_casc_opt (α=0.05),723,0,0,3,0,0,3
case_021,specCascTok0p3,spec_casc_tok (α=0.3),1024,0,0,2,1,6,9
case_021,strict,strict,928,0,0,1,0,3,4
case_022,cactus0p25,cactus (α=0.25),586,0,0,2,1,7,10
case_022,mentoredDec0p37,mentored_dec (α=0.37),796,0,0,2,0,9,11
case_022,rFuzzy0p3,r_fuzzy (α=0.3),664,1,0,1,2,6,10
case_022,specCascOpt0p05,spec_casc_opt (α=0.05),856,0,0,0,0,11,11
case_022,specCascTok0p3,spec_casc_tok (α=0.3),507,0,0,1,0,6,7
case_022,strict,strict,759,0,0,1,0,13,14
case_023,cactus0p25,cactus (α=0.25),442,0,0,0,0,6,6
case_023,mentoredDec0p37,mentored_dec (α=0.37),583,0,0,0,0,9,9
case_023,rFuzzy0p3,r_fuzzy (α=0.3),501,0,0,2,0,9,11
case_023,specCascOpt0p05,spec_casc_opt (α=0.05),912,2,0,0,1,11,14
case_023,specCascTok0p3,spec_casc_tok (α=0.3),585,0,0,0,0,12,12
case_023,strict,strict,601,0,0,2,0,9,11
case_024,cactus0p25,cactus (α=0.25),338,0,0,0,0,3,3
case_024,mentoredDec0p37,mentored_dec (α=0.37),270,0,0,1,0,2,3
case_024,rFuzzy0p3,r_fuzzy (α=0.3),259,0,0,0,0,7,7
case_024,specCascOpt0p05,spec_casc_opt (α=0.05),113,0,0,0,0,1,1
case_024,specCascTok0p3,spec_casc_tok (α=0.3),306,0,0,0,0,1,1
case_024,strict,strict,304,0,0,2,0,5,7
case_025,cactus0p25,cactus (α=0.25),1214,3,0,3,5,15,26
case_025,mentoredDec0p37,mentored_dec (α=0.37),1873,0,0,2,1,15,18
case_025,rFuzzy0p3,r_fuzzy (α=0.3),1460,1,0,4,1,21,27
case_025,specCascOpt0p05,spec_casc_opt (α=0.05),795,0,0,3,2,14,19
case_025,specCascTok0p3,spec_casc_tok (α=0.3),820,0,0,6,0,13,19
case_025,strict,strict,532,0,0,1,0,2,3
case_026,cactus0p25,cactus (α=0.25),579,0,0,1,0,2,3
case_026,mentoredDec0p37,mentored_dec (α=0.37),834,0,0,2,0,4,6
case_026,rFuzzy0p3,r_fuzzy (α=0.3),815,0,0,1,0,6,7
case_026,specCascOpt0p05,spec_casc_opt (α=0.05),752,0,0,2,0,2,4
case_026,specCascTok0p3,spec_casc_tok (α=0.3),405,0,0,2,0,1,3
case_026,strict,strict,604,0,0,1,0,2,3
case_027,cactus0p25,cactus (α=0.25),657,0,0,1,0,8,9
case_027,mentoredDec0p37,mentored_dec (α=0.37),262,0,0,1,0,0,1
case_027,rFuzzy0p3,r_fuzzy (α=0.3),625,0,0,2,0,3,5
case_027,specCascOpt0p05,spec_casc_opt (α=0.05),462,1,0,2,1,3,7
case_027,specCascTok0p3,spec_casc_tok (α=0.3),415,0,0,1,0,0,1
case_027,strict,strict,422,0,0,1,0,0,1
case_028,cactus0p25,cactus (α=0.25),348,2,0,4,0,3,9
case_028,mentoredDec0p37,mentored_dec (α=0.37),327,0,0,0,0,3,3
case_028,rFuzzy0p3,r_fuzzy (α=0.3),439,0,0,3,0,3,6
case_028,specCascOpt0p05,spec_casc_opt (α=0.05),189,0,0,1,0,0,1
case_028,specCascTok0p3,spec_casc_tok (α=0.3),214,0,0,2,0,3,5
case_028,strict,strict,316,0,0,2,0,5,7
case_029,cactus0p25,cactus (α=0.25),214,0,0,0,0,0,0
case_029,mentoredDec0p37,mentored_dec (α=0.37),272,0,0,1,0,2,3
case_029,rFuzzy0p3,r_fuzzy (α=0.3),376,0,0,1,0,6,7
case_029,specCascOpt0p05,spec_casc_opt (α=0.05),245,0,0,0,0,2,2
case_029,specCascTok0p3,spec_casc_tok (α=0.3),419,0,0,1,0,7,8
case_029,strict,strict,278,0,0,2,0,3,5
case_030,cactus0p25,cactus (α=0.25),369,0,0,1,0,1,2
case_030,mentoredDec0p37,mentored_dec (α=0.37),579,0,0,0,0,5,5
case_030,rFuzzy0p3,r_fuzzy (α=0.3),385,0,0,1,0,2,3
case_030,specCascOpt0p05,spec_casc_opt (α=0.05),384,0,0,0,0,0,0
case_030,specCascTok0p3,spec_casc_tok (α=0.3),312,0,0,1,0,1,2
case_030,strict,strict,356,0,0,0,0,1,1
case_031,cactus0p25,cactus (α=0.25),874,0,0,2,0,5,7
case_031,mentoredDec0p37,mentored_dec (α=0.37),331,0,0,0,0,1,1
case_031,rFuzzy0p3,r_fuzzy (α=0.3),474,0,0,0,0,2,2
case_031,specCascOpt0p05,spec_casc_opt (α=0.05),547,1,0,0,0,3,4
case_031,specCascTok0p3,spec_casc_tok (α=0.3),490,0,0,0,0,3,3
case_031,strict,strict,414,0,0,0,0,5,5
case_032,cactus0p25,cactus (α=0.25),413,0,0,1,0,2,3
case_032,mentoredDec0p37,mentored_dec (α=0.37),469,0,0,1,0,0,1
case_032,rFuzzy0p3,r_fuzzy (α=0.3),886,0,0,3,0,3,6
case_032,specCascOpt0p05,spec_casc_opt (α=0.05),745,0,0,0,0,0,0
case_032,specCascTok0p3,spec_casc_tok (α=0.3),342,0,0,0,0,1,1
case_032,strict,strict,426,0,0,2,0,1,3
case_033,cactus0p25,cactus (α=0.25),5640,13,2,16,15,67,113
case_033,mentoredDec0p37,mentored_dec (α=0.37),2758,6,0,9,4,20,39
case_033,rFuzzy0p3,r_fuzzy (α=0.3),5735,7,0,18,8,67,100
case_033,specCascOpt0p05,spec_casc_opt (α=0.05),6009,20,0,17,10,48,95
case_033,specCascTok0p3,spec_casc_tok (α=0.3),1752,1,0,2,0,10,13
case_033,strict,strict,4426,6,2,11,7,39,65
case_034,cactus0p25,cactus (α=0.25),1728,3,0,7,5,16,31
case_034,mentoredDec0p37,mentored_dec (α=0.37),800,0,0,2,0,3,5
case_034,rFuzzy0p3,r_fuzzy (α=0.3),1510,5,0,5,2,13,25
case_034,specCascOpt0p05,spec_casc_opt (α=0.05),864,2,0,1,1,2,6
case_034,specCascTok0p3,spec_casc_tok (α=0.3),716,0,0,1,0,3,4
case_034,strict,strict,871,1,0,3,0,5,9
case_035,cactus0p25,cactus (α=0.25),386,0,0,0,0,2,2
case_035,mentoredDec0p37,mentored_dec (α=0.37),307,0,0,0,0,0,0
case_035,rFuzzy0p3,r_fuzzy (α=0.3),340,1,0,2,0,1,4
case_035,specCascOpt0p05,spec_casc_opt (α=0.05),284,0,0,1,0,2,3
case_035,specCascTok0p3,spec_casc_tok (α=0.3),309,0,0,0,0,2,2
case_035,strict,strict,199,0,0,0,0,1,1
case_036,cactus0p25,cactus (α=0.25),651,0,0,3,1,5,9
case_036,mentoredDec0p37,mentored_dec (α=0.37),445,0,0,2,0,7,9
case_036,rFuzzy0p3,r_fuzzy (α=0.3),707,0,0,1,0,5,6
case_036,specCascOpt0p05,spec_casc_opt (α=0.05),416,0,0,2,0,3,5
case_036,specCascTok0p3,spec_casc_tok (α=0.3),355,0,0,0,0,1,1
case_036,strict,strict,315,0,0,3,0,4,7
case_037,cactus0p25,cactus (α=0.25),1933,2,0,9,1,25,37
case_037,mentoredDec0p37,mentored_dec (α=0.37),1205,1,0,5,0,15,21
case_037,rFuzzy0p3,r_fuzzy (α=0.3),2519,12,0,14,9,24,59
case_037,specCascOpt0p05,spec_casc_opt (α=0.05),1563,5,0,6,6,8,25
case_037,specCascTok0p3,spec_casc_tok (α=0.3),1380,3,0,3,0,6,12
case_037,strict,strict,1024,2,0,3,4,9,18
case_038,cactus0p25,cactus (α=0.25),1558,1,0,5,0,17,23
case_038,mentoredDec0p37,mentored_dec (α=0.37),751,0,0,3,0,4,7
case_038,rFuzzy0p3,r_fuzzy (α=0.3),1513,5,0,4,2,21,32
case_038,specCascOpt0p05,spec_casc_opt (α=0.05),813,1,0,1,0,5,7
case_038,specCascTok0p3,spec_casc_tok (α=0.3),542,0,0,1,0,3,4
case_038,strict,strict,864,1,0,1,1,3,6
case_039,cactus0p25,cactus (α=0.25),1820,6,0,7,4,17,34
case_039,mentoredDec0p37,mentored_dec (α=0.37),912,1,0,4,0,9,14
case_039,rFuzzy0p3,r_fuzzy (α=0.3),890,0,0,1,2,6,9
case_039,specCascOpt0p05,spec_casc_opt (α=0.05),742,1,0,2,1,3,7
case_039,specCascTok0p3,spec_casc_tok (α=0.3),527,0,0,2,1,0,3
case_039,strict,strict,725,2,0,2,1,6,11
case_040,cactus0p25,cactus (α=0.25),2267,1,0,14,1,17,33
case_040,mentoredDec0p37,mentored_dec (α=0.37),2418,4,0,13,2,20,39
case_040,rFuzzy0p3,r_fuzzy (α=0.3),2478,5,0,9,3,23,40
case_040,specCascOpt0p05,spec_casc_opt (α=0.05),1196,2,0,4,2,5,13
case_040,specCascTok0p3,spec_casc_tok (α=0.3),1023,0,0,4,1,10,15
case_040,strict,strict,1210,1,0,3,0,4,8
case_041,cactus0p25,cactus (α=0.25),1251,2,0,3,0,14,19
case_041,mentoredDec0p37,mentored_dec (α=0.37),947,0,0,2,2,8,12
case_041,rFuzzy0p3,r_fuzzy (α=0.3),992,1,0,3,1,4,9
case_041,specCascOpt0p05,spec_casc_opt (α=0.05),1747,3,0,3,0,32,38
case_041,specCascTok0p3,spec_casc_tok (α=0.3),977,1,0,6,1,6,14
case_041,strict,strict,1176,1,0,3,1,15,20
case_042,cactus0p25,cactus (α=0.25),1994,5,0,8,4,31,48
case_042,mentoredDec0p37,mentored_dec (α=0.37),1289,1,0,5,0,18,24
case_042,rFuzzy0p3,r_fuzzy (α=0.3),1559,6,1,7,2,17,33
case_042,specCascOpt0p05,spec_casc_opt (α=0.05),1756,3,1,2,2,28,36
case_042,specCascTok0p3,spec_casc_tok (α=0.3),1568,3,1,5,2,35,46
case_042,strict,strict,1370,3,0,8,1,16,28
case_043,cactus0p25,cactus (α=0.25),341,0,0,0,0,2,2
case_043,mentoredDec0p37,mentored_dec (α=0.37),456,0,0,0,0,4,4
case_043,rFuzzy0p3,r_fuzzy (α=0.3),300,0,0,0,0,0,0
case_043,specCascOpt0p05,spec_casc_opt (α=0.05),417,0,0,3,0,6,9
case_043,specCascTok0p3,spec_casc_tok (α=0.3),431,0,0,1,0,3,4
case_043,strict,strict,238,0,0,0,0,2,2
case_044,cactus0p25,cactus (α=0.25),987,3,0,2,1,12,18
case_044,mentoredDec0p37,mentored_dec (α=0.37),514,0,0,2,0,9,11
case_044,rFuzzy0p3,r_fuzzy (α=0.3),707,1,0,2,0,10,13
case_044,specCascOpt0p05,spec_casc_opt (α=0.05),686,1,0,3,2,8,14
case_044,specCascTok0p3,spec_casc_tok (α=0.3),652,0,0,2,0,4,6
case_044,strict,strict,547,0,0,1,0,2,3
case_045,cactus0p25,cactus (α=0.25),674,1,0,1,1,4,7
case_045,mentoredDec0p37,mentored_dec (α=0.37),903,0,0,1,0,8,9
case_045,rFuzzy0p3,r_fuzzy (α=0.3),1108,3,0,4,2,4,13
case_045,specCascOpt0p05,spec_casc_opt (α=0.05),806,0,0,7,2,7,16
case_045,specCascTok0p3,spec_casc_tok (α=0.3),649,0,0,0,1,7,8
case_045,strict,strict,868,0,0,2,0,6,8
case_046,cactus0p25,cactus (α=0.25),360,0,0,0,0,0,0
case_046,mentoredDec0p37,mentored_dec (α=0.37),528,0,0,1,0,6,7
case_046,rFuzzy0p3,r_fuzzy (α=0.3),506,1,0,1,2,2,6
case_046,specCascOpt0p05,spec_casc_opt (α=0.05),375,0,0,0,0,5,5
case_046,specCascTok0p3,spec_casc_tok (α=0.3),216,0,0,1,0,0,1
case_046,strict,strict,531,0,0,2,0,2,4
case_047,cactus0p25,cactus (α=0.25),2188,4,0,8,1,6,19
case_047,mentoredDec0p37,mentored_dec (α=0.37),737,0,0,3,0,2,5
case_047,rFuzzy0p3,r_fuzzy (α=0.3),1310,12,0,3,1,7,23
case_047,specCascOpt0p05,spec_casc_opt (α=0.05),1443,4,0,2,2,2,10
case_047,specCascTok0p3,spec_casc_tok (α=0.3),911,0,0,5,0,1,6
case_047,strict,strict,728,0,0,2,0,4,6
case_048,cactus0p25,cactus (α=0.25),3052,8,0,23,14,36,81
case_048,mentoredDec0p37,mentored_dec (α=0.37),2391,6,0,14,5,37,62
case_048,rFuzzy0p3,r_fuzzy (α=0.3),4070,27,5,45,13,49,139
case_048,specCascOpt0p05,spec_casc_opt (α=0.05),1720,1,0,6,2,25,34
case_048,specCascTok0p3,spec_casc_tok (α=0.3),5235,6,0,29,4,113,152
case_048,strict,strict,2963,7,0,8,5,29,49
case_049,cactus0p25,cactus (α=0.25),295,0,0,2,0,2,4
case_049,mentoredDec0p37,mentored_dec (α=0.37),330,0,0,1,0,3,4
case_049,rFuzzy0p3,r_fuzzy (α=0.3),641,0,0,2,0,6,8
case_049,specCascOpt0p05,spec_casc_opt (α=0.05),420,0,0,1,0,4,5
case_049,specCascTok0p3,spec_casc_tok (α=0.3),290,0,0,1,0,2,3
case_049,strict,strict,312,0,0,0,0,1,1
case_050,cactus0p25,cactus (α=0.25),1242,0,1,5,1,16,23
case_050,mentoredDec0p37,mentored_dec (α=0.37),606,0,0,1,0,6,7
case_050,rFuzzy0p3,r_fuzzy (α=0.3),910,0,0,1,0,6,7
case_050,specCascOpt0p05,spec_casc_opt (α=0.05),749,0,0,2,0,9,11
case_050,specCascTok0p3,spec_casc_tok (α=0.3),501,0,0,0,0,3,3
case_050,strict,strict,754,0,0,0,0,8,8
case_051,cactus0p25,cactus (α=0.25),1064,2,0,6,1,5,14
case_051,mentoredDec0p37,mentored_dec (α=0.37),445,0,0,0,0,3,3
case_051,rFuzzy0p3,r_fuzzy (α=0.3),701,0,0,3,2,9,14
case_051,specCascOpt0p05,spec_casc_opt (α=0.05),325,0,0,1,0,4,5
case_051,specCascTok0p3,spec_casc_tok (α=0.3),945,2,0,3,1,13,19
case_051,strict,strict,420,0,0,1,0,3,4
case_052,cactus0p25,cactus (α=0.25),947,0,0,3,0,12,15
case_052,mentoredDec0p37,mentored_dec (α=0.37),380,0,0,1,0,1,2
case_052,rFuzzy0p3,r_fuzzy (α=0.3),884,3,0,6,0,6,15
case_052,specCascOpt0p05,spec_casc_opt (α=0.05),759,1,0,2,0,6,9
case_052,specCascTok0p3,spec_casc_tok (α=0.3),421,0,0,1,0,1,2
case_052,strict,strict,557,0,0,1,1,4,6
case_053,cactus0p25,cactus (α=0.25),294,0,0,0,0,1,1
case_053,mentoredDec0p37,mentored_dec (α=0.37),574,0,0,1,0,3,4
case_053,rFuzzy0p3,r_fuzzy (α=0.3),416,0,0,1,0,0,1
case_053,specCascOpt0p05,spec_casc_opt (α=0.05),437,0,0,2,0,1,3
case_053,specCascTok0p3,spec_casc_tok (α=0.3),347,0,0,0,0,0,0
case_053,strict,strict,339,0,0,0,0,1,1
case_054,cactus0p25,cactus (α=0.25),305,0,0,3,1,2,6
case_054,mentoredDec0p37,mentored_dec (α=0.37),115,0,0,0,0,0,0
case_054,rFuzzy0p3,r_fuzzy (α=0.3),220,0,0,1,0,2,3
case_054,specCascOpt0p05,spec_casc_opt (α=0.05),210,0,0,1,0,0,1
case_054,specCascTok0p3,spec_casc_tok (α=0.3),289,0,0,1,0,4,5
case_054,strict,strict,354,0,0,0,0,5,5
case_055,cactus0p25,cactus (α=0.25),2650,11,1,13,10,21,56
case_055,mentoredDec0p37,mentored_dec (α=0.37),2007,10,0,17,3,13,43
case_055,rFuzzy0p3,r_fuzzy (α=0.3),1297,3,0,7,4,7,21
case_055,specCascOpt0p05,spec_casc_opt (α=0.05),5358,14,1,21,7,28,71
case_055,specCascTok0p3,spec_casc_tok (α=0.3),867,2,0,6,1,3,12
case_055,strict,strict,935,0,0,7,0,3,10
case_056,cactus0p25,cactus (α=0.25),1112,0,0,5,1,6,12
case_056,mentoredDec0p37,mentored_dec (α=0.37),495,0,0,3,0,1,4
case_056,rFuzzy0p3,r_fuzzy (α=0.3),1458,6,0,8,2,12,28
case_056,specCascOpt0p05,spec_casc_opt (α=0.05),435,1,0,0,0,2,3
case_056,specCascTok0p3,spec_casc_tok (α=0.3),671,1,0,1,0,3,5
case_056,strict,strict,565,0,0,2,0,1,3
case_057,cactus0p25,cactus (α=0.25),482,0,0,0,0,0,0
case_057,mentoredDec0p37,mentored_dec (α=0.37),493,0,0,2,0,5,7
case_057,rFuzzy0p3,r_fuzzy (α=0.3),603,1,0,1,1,7,10
case_057,specCascOpt0p05,spec_casc_opt (α=0.05),525,1,0,0,1,0,2
case_057,specCascTok0p3,spec_casc_tok (α=0.3),402,0,0,0,0,4,4
case_057,strict,strict,412,0,0,0,0,4,4
case_058,cactus0p25,cactus (α=0.25),944,0,0,4,1,7,12
case_058,mentoredDec0p37,mentored_dec (α=0.37),1466,0,0,5,2,7,14
case_058,rFuzzy0p3,r_fuzzy (α=0.3),968,1,0,2,1,3,7
case_058,specCascOpt0p05,spec_casc_opt (α=0.05),1115,1,0,3,3,8,15
case_058,specCascTok0p3,spec_casc_tok (α=0.3),451,0,0,2,0,0,2
case_058,strict,strict,545,0,0,3,0,4,7
case_059,cactus0p25,cactus (α=0.25),1178,0,0,3,1,19,23
case_059,mentoredDec0p37,mentored_dec (α=0.37),418,0,0,1,0,1,2
case_059,rFuzzy0p3,r_fuzzy (α=0.3),508,0,0,0,0,2,2
case_059,specCascOpt0p05,spec_casc_opt (α=0.05),978,1,0,2,0,11,14
case_059,specCascTok0p3,spec_casc_tok (α=0.3),666,0,0,1,0,3,4
case_059,strict,strict,344,0,0,1,0,2,3
case_060,cactus0p25,cactus (α=0.25),524,0,0,2,1,4,7
case_060,mentoredDec0p37,mentored_dec (α=0.37),669,1,0,1,1,1,4
case_060,rFuzzy0p3,r_fuzzy (α=0.3),1401,0,0,3,0,11,14
case_060,specCascOpt0p05,spec_casc_opt (α=0.05),615,1,0,3,1,6,11
case_060,specCascTok0p3,spec_casc_tok (α=0.3),2271,2,0,5,4,24,35
case_060,strict,strict,3378,5,0,7,6,40,58
case_061,cactus0p25,cactus (α=0.25),442,0,0,2,0,4,6
case_061,mentoredDec0p37,mentored_dec (α=0.37),430,0,0,1,0,2,3
case_061,rFuzzy0p3,r_fuzzy (α=0.3),521,0,0,1,1,4,6
case_061,specCascOpt0p05,spec_casc_opt (α=0.05),313,0,0,0,0,2,2
case_061,specCascTok0p3,spec_casc_tok (α=0.3),376,0,0,1,0,3,4
case_061,strict,strict,391,0,0,1,0,1,2
