case,tag,arm,completion_tokens,wait,hmm,lets,actually,but,total
case_010,specCascOpt0p05,spec_casc_opt (α=0.05),2338,10,0,5,8,12,35
case_010,specCascTok0p3,spec_casc_tok (α=0.3),1768,2,0,3,1,8,14
case_010,strict,strict,1518,0,0,4,0,4,8
case_011,cactus0p25,cactus (α=0.25),32768,277,3,192,189,540,1201
case_011,mentoredDec0p37,mentored_dec (α=0.37),29753,116,3,145,67,203,534
case_011,rFuzzy0p3,r_fuzzy (α=0.3),27824,280,10,202,215,318,1025
case_011,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),5027,32,0,22,10,29,93
case_011,specCascOpt0p05,spec_casc_opt (α=0.05),32768,317,5,186,168,229,905
case_011,specCascTok0p3,spec_casc_tok (α=0.3),27669,102,1,121,48,338,610
case_011,strict,strict,4727,15,0,22,4,32,73
case_012,cactus0p25,cactus (α=0.25),4186,16,2,18,5,48,89
case_012,mentoredDec0p37,mentored_dec (α=0.37),2893,5,0,9,3,10,27
case_012,rFuzzy0p3,r_fuzzy (α=0.3),2667,6,0,11,2,23,42
case_012,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),6583,46,1,24,16,52,139
case_012,specCascOpt0p05,spec_casc_opt (α=0.05),5061,30,0,25,11,45,111
case_012,specCascTok0p3,spec_casc_tok (α=0.3),1841,6,0,6,1,12,25
case_012,strict,strict,2071,6,0,5,2,9,22
case_013,cactus0p25,cactus (α=0.25),6252,24,0,30,15,38,107
case_013,mentoredDec0p37,mentored_dec (α=0.37),4260,8,0,13,2,19,42
case_013,rFuzzy0p3,r_fuzzy (α=0.3),6232,45,1,40,31,27,144
case_013,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),19121,152,1,64,98,86,401
case_013,specCascOpt0p05,spec_casc_opt (α=0.05),8145,66,0,38,20,24,148
case_013,specCascTok0p3,spec_casc_tok (α=0.3),1657,1,0,3,2,4,10
case_013,strict,strict,1491,2,0,2,1,1,6
case_014,cactus0p25,cactus (α=0.25),14292,64,9,69,68,111,321
case_014,mentoredDec0p37,mentored_dec (α=0.37),30237,68,5,102,73,248,496
case_014,rFuzzy0p3,r_fuzzy (α=0.3),7980,42,7,41,33,55,178
case_014,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),8760,30,4,25,25,59,143
case_014,specCascOpt0p05,spec_casc_opt (α=0.05),15671,85,3,48,98,156,390
case_014,specCascTok0p3,spec_casc_tok (α=0.3),10033,24,1,28,23,89,165
case_014,strict,strict,32768,69,7,120,86,343,625
case_015,cactus0p25,cactus (α=0.25),11383,52,1,48,34,89,224
case_015,mentoredDec0p37,mentored_dec (α=0.37),11367,43,1,40,31,84,199
case_015,rFuzzy0p3,r_fuzzy (α=0.3),31476,196,9,174,189,401,969
case_015,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),14562,95,0,50,69,70,284
case_015,specCascOpt0p05,spec_casc_opt (α=0.05),32768,241,1,120,95,319,776
case_015,specCascTok0p3,spec_casc_tok (α=0.3),6823,17,0,17,8,32,74
case_015,strict,strict,4970,14,0,11,10,27,62
case_016,cactus0p25,cactus (α=0.25),16969,97,1,72,55,248,473
case_016,mentoredDec0p37,mentored_dec (α=0.37),1478,1,0,3,0,4,8
case_016,rFuzzy0p3,r_fuzzy (α=0.3),4967,31,0,23,13,24,91
case_016,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),10713,84,2,45,43,84,258
case_016,specCascOpt0p05,spec_casc_opt (α=0.05),5811,37,0,19,18,33,107
case_016,specCascTok0p3,spec_casc_tok (α=0.3),1215,0,0,1,0,5,6
case_016,strict,strict,4346,7,0,9,3,15,34
case_017,cactus0p25,cactus (α=0.25),29276,148,13,175,146,502,984
case_017,mentoredDec0p37,mentored_dec (α=0.37),14683,43,2,66,24,73,208
case_017,rFuzzy0p3,r_fuzzy (α=0.3),27156,220,11,172,174,235,812
case_017,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),25150,226,5,129,135,186,681
case_017,specCascOpt0p05,spec_casc_opt (α=0.05),32768,213,9,165,139,335,861
case_017,specCascTok0p3,spec_casc_tok (α=0.3),6048,11,0,14,6,24,55
case_017,strict,strict,21576,55,2,81,42,98,278
case_018,cactus0p25,cactus (α=0.25),11234,58,2,61,24,87,232
case_018,mentoredDec0p37,mentored_dec (α=0.37),14280,32,0,99,13,54,198
case_018,rFuzzy0p3,r_fuzzy (α=0.3),30703,269,7,227,199,260,962
case_018,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),26045,247,3,136,100,180,666
case_018,specCascOpt0p05,spec_casc_opt (α=0.05),32768,248,2,164,113,244,771
case_018,specCascTok0p3,spec_casc_tok (α=0.3),5277,12,0,18,6,27,63
case_018,strict,strict,5298,10,0,20,5,23,58
case_019,cactus0p25,cactus (α=0.25),21876,107,7,109,83,274,580
case_019,mentoredDec0p37,mentored_dec (α=0.37),32768,95,3,157,63,305,623
case_019,rFuzzy0p3,r_fuzzy (α=0.3),15452,99,4,70,64,218,455
case_019,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),18455,113,6,84,90,97,390
case_019,specCascOpt0p05,spec_casc_opt (α=0.05),32768,249,0,101,93,646,1089
case_019,specCascTok0p3,spec_casc_tok (α=0.3),15885,47,3,82,11,174,317
case_019,strict,strict,11554,21,0,51,21,39,132
case_020,cactus0p25,cactus (α=0.25),23075,117,7,194,93,246,657
case_020,mentoredDec0p37,mentored_dec (α=0.37),3282,7,0,7,3,17,34
case_020,rFuzzy0p3,r_fuzzy (α=0.3),31809,211,3,290,195,361,1060
case_020,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),15481,148,0,76,59,63,346
case_020,specCascOpt0p05,spec_casc_opt (α=0.05),8266,44,0,25,22,39,130
case_020,specCascTok0p3,spec_casc_tok (α=0.3),3439,7,0,7,4,8,26
case_020,strict,strict,3342,10,1,13,3,15,42
case_021,cactus0p25,cactus (α=0.25),32768,142,2,220,127,621,1112
case_021,mentoredDec0p37,mentored_dec (α=0.37),12334,36,1,68,12,93,210
case_021,rFuzzy0p3,r_fuzzy (α=0.3),32722,160,6,206,192,522,1086
case_021,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),32768,181,2,212,150,363,908
case_021,specCascOpt0p05,spec_casc_opt (α=0.05),13223,78,1,77,31,101,288
case_021,specCascTok0p3,spec_casc_tok (α=0.3),5066,5,0,18,7,37,67
case_021,strict,strict,9852,30,0,43,24,77,174
case_022,cactus0p25,cactus (α=0.25),13273,28,2,57,45,186,318
case_022,mentoredDec0p37,mentored_dec (α=0.37),5595,18,0,27,11,34,90
case_022,rFuzzy0p3,r_fuzzy (α=0.3),8146,29,1,58,18,68,174
case_022,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),12194,52,3,67,29,87,238
case_022,specCascOpt0p05,spec_casc_opt (α=0.05),32768,181,7,178,165,382,913
case_022,specCascTok0p3,spec_casc_tok (α=0.3),3088,9,0,11,5,18,43
case_022,strict,strict,8465,24,1,29,14,53,121
case_023,cactus0p25,cactus (α=0.25),10962,53,1,74,26,178,332
case_023,mentoredDec0p37,mentored_dec (α=0.37),8008,16,0,44,12,111,183
case_023,rFuzzy0p3,r_fuzzy (α=0.3),23416,169,2,140,100,440,851
case_023,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),24754,136,1,113,74,346,670
case_023,specCascOpt0p05,spec_casc_opt (α=0.05),11901,71,2,50,32,167,322
case_023,specCascTok0p3,spec_casc_tok (α=0.3),3762,4,0,17,2,36,59
case_023,strict,strict,7786,14,0,43,2,110,169
case_024,cactus0p25,cactus (α=0.25),26274,173,9,157,138,401,878
case_024,mentoredDec0p37,mentored_dec (α=0.37),3632,5,0,8,1,12,26
case_024,rFuzzy0p3,r_fuzzy (α=0.3),5227,45,0,20,23,32,120
case_024,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),7725,52,0,32,31,57,172
case_024,specCascOpt0p05,spec_casc_opt (α=0.05),11531,74,1,52,28,75,230
case_024,specCascTok0p3,spec_casc_tok (α=0.3),2994,3,0,9,2,15,29
case_024,strict,strict,20202,54,0,64,23,72,213
case_025,cactus0p25,cactus (α=0.25),2773,5,0,10,3,5,23
case_025,mentoredDec0p37,mentored_dec (α=0.37),2744,6,0,12,0,3,21
case_025,rFuzzy0p3,r_fuzzy (α=0.3),8893,69,0,63,35,27,194
case_025,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),10413,129,1,55,30,22,237
case_025,specCascOpt0p05,spec_casc_opt (α=0.05),6378,40,3,26,14,8,91
case_025,specCascTok0p3,spec_casc_tok (α=0.3),1545,0,0,1,0,2,3
case_025,strict,strict,3043,6,0,8,2,8,24
case_026,cactus0p25,cactus (α=0.25),32768,125,7,130,119,556,937
case_026,mentoredDec0p37,mentored_dec (α=0.37),32768,95,3,143,61,204,506
case_026,rFuzzy0p3,r_fuzzy (α=0.3),29316,128,5,175,136,375,819
case_026,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),22775,119,2,93,104,179,497
case_026,specCascOpt0p05,spec_casc_opt (α=0.05),32768,256,3,145,133,371,908
case_026,specCascTok0p3,spec_casc_tok (α=0.3),22468,47,1,82,32,158,320
case_026,strict,strict,32768,97,7,131,69,176,480
case_027,cactus0p25,cactus (α=0.25),4356,21,0,20,7,31,79
case_027,mentoredDec0p37,mentored_dec (α=0.37),2454,5,0,12,2,7,26
case_027,rFuzzy0p3,r_fuzzy (α=0.3),6868,62,1,44,15,51,173
case_027,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),5157,55,1,28,22,28,134
case_027,specCascOpt0p05,spec_casc_opt (α=0.05),4429,22,0,20,2,33,77
case_027,specCascTok0p3,spec_casc_tok (α=0.3),2121,3,0,5,0,8,16
case_027,strict,strict,2191,6,0,6,2,10,24
case_028,cactus0p25,cactus (α=0.25),31540,287,3,230,163,308,991
case_028,mentoredDec0p37,mentored_dec (α=0.37),12087,42,3,55,16,64,180
case_028,rFuzzy0p3,r_fuzzy (α=0.3),32768,270,7,247,227,390,1141
case_028,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),32768,327,5,168,211,146,857
case_028,specCascOpt0p05,spec_casc_opt (α=0.05),32768,246,2,130,74,202,654
case_028,specCascTok0p3,spec_casc_tok (α=0.3),13969,32,0,57,9,44,142
case_028,strict,strict,3680,9,0,9,1,6,25
case_029,cactus0p25,cactus (α=0.25),27239,111,6,134,129,222,602
case_029,mentoredDec0p37,mentored_dec (α=0.37),14039,52,3,44,41,131,271
case_029,rFuzzy0p3,r_fuzzy (α=0.3),7452,42,7,49,45,59,202
case_029,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),7802,22,6,27,40,36,131
case_029,specCascOpt0p05,spec_casc_opt (α=0.05),14826,108,4,51,91,176,430
case_029,specCascTok0p3,spec_casc_tok (α=0.3),19587,61,0,74,47,153,335
case_029,strict,strict,10687,26,0,35,24,73,158
case_030,cactus0p25,cactus (α=0.25),32768,78,3,85,49,736,951
case_030,mentoredDec0p37,mentored_dec (α=0.37),6369,10,0,23,9,79,121
case_030,rFuzzy0p3,r_fuzzy (α=0.3),31152,75,1,72,62,768,978
case_030,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),25092,54,2,51,44,413,564
case_030,specCascOpt0p05,spec_casc_opt (α=0.05),23016,110,3,56,27,472,668
case_030,specCascTok0p3,spec_casc_tok (α=0.3),8684,25,0,32,6,119,182
case_030,strict,strict,8202,15,0,18,7,111,151
